hhid,round,comment,intakeevent,s6q27a,s6q27b,s6q28,s6q29,s6q29a,s6q29a1,s6q29b,s6q30,s6q31,s6q32,s6q32b,s6q33,s6q33_r6,s6q34,s6q34b,s6q34c,s6q34d
2022,6,0,3,2015,Jan-15,Cattle,Purchased,,,,2,2,Expand herd,,,A livestock trader within the village,,32000,Yes,
2022,6,0,4,2015,Mar-15,Shoat,Received as gifts,,,,5,3,Expand herd,,,.b,,15000,Yes,
2022,6,0,2,2015,Sep-15,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,,.b,,15000,Yes,
2022,6,0,5,2015,Apr-15,Shoat,Purchased,,,,3,2,Expand herd,,,Small livestock market,,10000,Yes,
2023,2,,1,2010,Jan-15,Shoat,Purchased,,,,2,2,Expand herd,,Within the district,,2155,,,
2024,2,,1,2010,Mar-15,Shoat,Purchased,,,,2,2,Milking purposes,,Within sub-location,,1100,,,
2024,3,0,1,2011,Jan-15,Cattle,Purchased,,,,1,1,Restocking from loss,,Within the location,,,8000,Yes,
2024,3,0,2,2011,Feb-15,Cattle,Received as gifts,,,,1,1,Restocking from loss,,Within the location,,,6000,Yes,
2024,6,0,1,2015,Jan-15,Cattle,Purchased,,,,1,0,Expand herd,,,Small livestock market,,5000,Yes,
2025,4,0,1,2012,Sep-15,Cattle,Purchased,,,,3,0,Business/Trading,,Within sub-location,,,50500,Yes,
2025,7,,1,2020,Nov-14,Goat,Received as gifts,,,,1,,Expand herd,,,,,,,1
2026,3,0,1,2011,Jul-15,Camel,Received as a part of a restocking program,,,,1,1,Diversify herd composition,,Within the district,,,15000,Yes,
2026,4,0,1,2011,Nov-14,Cattle,Purchased,,,,1,1,Milking purposes,,Within the location,,,17000,Yes,
2026,7,,1,2019,Jan-15,Goat,Received as gifts,,,,2,,Cultural and traditional rites,,,,,,,1
2027,2,,3,2010,Apr-15,Shoat,Loaned in/Borrowed,,,,2,2,9,,Within the location,,1500,,,
2027,2,,1,2010,Mar-15,Cattle,Purchased,,,,2,0,Restocking from loss,,Within the location,,12000,,,
2027,2,,2,2010,Apr-15,Cattle,Loaned in/Borrowed,,,,2,0,9,,Within the district,,10000,,,
2027,3,0,1,2011,Mar-15,Shoat,Purchased,,,,2,2,Restocking from loss,,Within the location,,,2000,Yes,
2027,4,0,1,2012,Feb-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,,5000,Yes,
2027,5,0,1,2013,Jan-15,Cattle,Received as gifts,,,,1,1,Cultural and traditional rites,,Within sub-location,,,20000,Yes,
2027,6,0,1,2015,May-15,Cattle,Purchased,,,,6,3,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,85000,Yes,
2028,2,,1,2010,Mar-15,Cattle,Purchased,,,,1,1,Restocking from loss,,Within the district,,15000,,,
2028,6,0,1,2014,Nov-14,Cattle,Purchased,,,,3,0,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,50000,Yes,
2029,2,,1,2010,Aug-15,Cattle,Purchased,,,,5,1,Expand herd,,Within the district,,12000,,,
2029,4,0,1,2011,Dec-14,Cattle,Purchased,,,,1,1,Expand herd,,Within the location,,,20000,Yes,
2029,5,0,1,2012,Oct-14,Cattle,Received as gifts,,,,5,3,10,,Within the district,,,125000,Yes,
2029,5,0,2,2012,Nov-14,Cattle,Received as gifts,,,,2,0,10,,Within the district,,,50000,Yes,
2029,7,,2,2020,Aug-15,Cattle,Purchased,,,,2,,Expand herd,,,,11500,23000,,2
2029,7,,1,2020,Aug-15,Cattle,Purchased,,,,2,,Expand herd,,,,12500,25000,,2
2030,2,,1,2010,Apr-15,Shoat,Purchased,,,,1,1,Expand herd,,Within sub-location,,1500,,,
2030,2,,2,2010,May-15,Shoat,Purchased,,,,1,1,Expand herd,,Within sub-location,,2000,,,
2031,3,0,1,2011,Jul-15,Shoat,Purchased,,,,9,9,Business/Trading,,Within sub-location,,,12000,Yes,
2031,5,0,1,2013,Aug-15,Shoat,Received as gifts,,,,3,3,Milking purposes,,Within the district,,,10000,Yes,
2031,6,0,1,2014,Dec-14,Cattle,Loaned in/Borrowed,Long term borrowing/lending,Neighbour/friend,,1,0,9,USED AS OXEN,,.b,,20000,Yes,
2032,2,,1,2010,May-15,Shoat,Purchased,,,,2,2,Milking purposes,,Within sub-location,,1650,,,
2033,2,,1,2010,Jul-15,Cattle,Exchange,,,,1,1,Milking purposes,,Within the district,,12000,,,
2034,2,,1,2010,Jul-15,Cattle,Received as a part of a restocking program,,,,1,1,Diversify herd composition,,Within the district,,30000,,,
2034,4,0,2,2011,Nov-14,Cattle,Purchased,,,,1,0,Expand herd,,Within the location,,,30000,Yes,
2034,4,0,1,2011,Nov-14,Camel,Purchased,,,,2,2,Milking purposes,,Within the location,,,42000,Yes,
2034,5,0,2,2012,Dec-14,Shoat,Received as gifts,,,,19,6,Expand herd,,Within the district,,,45000,Yes,
2034,5,0,1,2012,Oct-14,Camel,Purchased,,,,1,0,Expand herd,,Within the district,,,40000,Yes,
2035,2,,1,2010,Jun-15,Cattle,Purchased,,,,2,0,10,,Within the district,,12500,,,
2035,3,0,1,2011,Jul-15,Camel,Received as a part of a restocking program,,,,1,1,Restocking from loss,,Outside the district,,,18000,Yes,
2036,2,,1,2009,Dec-14,Shoat,Loaned in/Borrowed,,,,6,5,Milking purposes,,Outside the district,,2000,,,
2036,4,0,1,2012,Sep-15,Cattle,Purchased,,,,1,1,Start herd,,Within sub-location,,,19000,Yes,
2037,6,0,1,2015,Feb-15,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,,.b,,20000,Yes,
2038,4,0,1,2012,Jul-15,Shoat,Obtained as dowry,,,,2,1,Cultural and traditional rites,,Within the location,,,4200,Yes,
2038,6,0,2,2015,Jan-15,Shoat,Received as gifts,,,,1,1,Expand herd,,,.b,,4000,Yes,
2038,6,0,1,2014,Oct-14,Shoat,Received as gifts,,,,2,2,Expand herd,,,.b,,4000,Yes,
2038,7,,1,2019,Jan-15,Goat,Received as gifts,,,,1,,Cultural and traditional rites,,,,,,,1
2039,2,,2,2010,Jul-15,Cattle,Purchased,,,,2,1,Milking purposes,,Within the district,,17000,,,
2039,2,,1,2010,May-15,Shoat,Purchased,,,,2,2,Expand herd,,Within the district,,2000,,,
2039,5,0,1,2012,Dec-14,Camel,Purchased,,,,1,1,Expand herd,,Within the location,,,30000,Yes,
2039,5,0,2,2013,Mar-15,Cattle,Purchased,,,,2,1,Consumption,,Within the location,,,60000,Yes,
2039,6,0,1,2015,Jan-15,Shoat,Purchased,,,,2,1,Expand herd,,,Small livestock market,,8000,Yes,
2040,2,,1,2010,Mar-15,Shoat,Loaned in/Borrowed,,,,1,1,Expand herd,,Outside the district,,2000,,,
2040,2,,2,2010,May-15,Cattle,Purchased,,,,2,2,Milking purposes,,Outside the district,,15000,,,
2040,2,,3,2010,Jun-15,Cattle,Loaned in/Borrowed,,,,2,0,10,,Within the district,,15000,,,
2040,4,0,1,2012,Mar-15,Shoat,Purchased,,,,2,1,Cultural and traditional rites,,Within the district,,,15000,Yes,
2040,5,0,1,2013,May-15,Cattle,Purchased,,,,2,0,Restocking from loss,,Within sub-location,,,36000,Yes,
2040,5,0,2,2013,Apr-15,Shoat,Received as gifts,,,,1,0,Cultural and traditional rites,,Within sub-location,,,4000,Yes,
2041,5,0,4,2013,Jul-15,Cattle,Other (specify),,,taking care of the livestock for our relatives/ herding for relatives,7,3,Cultural and traditional rites,,Within the location,,,190000,Yes,
2041,5,0,2,2013,Jun-15,Cattle,Purchased,,,,2,0,9,,Within the district,,,39000,Yes,
2041,5,0,3,2013,Jul-15,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,Within the location,,,15000,Yes,
2041,5,0,1,2013,Aug-15,Shoat,Purchased,,,,1,0,Consumption,,Within the location,,,4000,Yes,
2041,5,0,5,2013,Aug-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the location,,,3000,Yes,
2041,6,0,1,2014,Oct-14,Cattle,Purchased,,,,2,0,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,33150,Yes,
2043,4,0,1,2011,Oct-14,Camel,Received as gifts,,,,1,0,Diversify herd composition,,Outside the district,,,70000,Yes,
2043,5,0,1,2013,Feb-15,Shoat,Purchased,,,,4,4,Expand herd,,Within the district,,,12000,Yes,
2044,4,0,1,2012,Apr-15,Shoat,Received as gifts,,,,1,1,Start herd,,Within the location,,,3200,Yes,
2045,3,0,1,2011,Sep-15,Shoat,Received as gifts,,,,1,0,Expand herd,,Within sub-location,,,3000,Yes,
2045,4,0,1,2012,Aug-15,Shoat,Purchased,,,,1,1,Expand herd,,Within sub-location,,,3200,Yes,
2045,5,0,1,2013,Apr-15,Shoat,Received as gifts,,,,2,0,Consumption,,Within the district,,,12000,Yes,
2047,4,0,1,2012,Jun-15,Shoat,Purchased,,,,2,2,Start herd,,Within the district,,,10000,Yes,
2048,2,,1,2010,May-15,Shoat,Received as gifts,,,,3,3,Restocking from loss,,Within the location,,2500,,,
2048,3,0,1,2011,Feb-15,Shoat,Purchased,,,,1,0,Restocking from loss,,Within the location,,,2000,Yes,
2048,4,0,1,2011,Dec-14,Shoat,Purchased,,,,2,2,Expand herd,,Within the location,,,4000,Yes,
2048,5,0,1,2013,Jun-15,Shoat,Received as gifts,,,,1,0,Cultural and traditional rites,,Within sub-location,,,3500,Yes,
2049,2,,1,2010,Feb-15,Cattle,Received as gifts,,,,2,2,Restocking from loss,,Within the district,,10000,,,
2049,2,,2,2010,Apr-15,Shoat,Purchased,,,,4,3,Restocking from loss,,Within the district,,1200,,,
2049,4,0,1,2012,Jun-15,Cattle,Purchased,,,,1,1,Cultural and traditional rites,,Within the district,,,12000,Yes,
2049,4,0,3,2012,Jul-15,Shoat,Purchased,,,,1,1,Expand herd,,Within the district,,,2500,Yes,
2049,4,0,2,2012,Jun-15,Shoat,Purchased,,,,1,1,Cultural and traditional rites,,Within the district,,,2800,Yes,
2049,7,,1,2019,Mar-15,Sheep,Received as gifts,,,,1,,Cultural and traditional rites,,,,,,,1
2050,3,0,1,2011,Jan-15,Shoat,Purchased,,,,3,1,Restocking from loss,,Within sub-location,,,4500,Yes,
2050,4,0,1,2012,Apr-15,Cattle,Received as gifts,,,,1,1,Milking purposes,,Within sub-location,,,25000,Yes,
2050,7,,1,2020,Oct-14,Goat,Purchased,,,,2,,Expand herd,,,,6000,12000,,1
