hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
2005,2,,3,2010,August,Goat/Sheep,Sold,,,,3,3,Weak/poor performance,,,Within the sub-location,,2000,,,
2005,5,0,3,2013,August,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the sub-location,,,10000,Yes,
2005,5,0,2,2013,May,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the sub-location,,,14000,Yes,
2005,5,0,1,2013,May,Cattle,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,,75000,Yes,
2005,6,0,1,2015,February,Cattle,Sold,,,,3,0,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,150000,Yes,
2005,6,0,2,2015,January,Goat/Sheep,Sold,,,,5,0,Weak/poor performance,,,,Small livestock market,,27000,Yes,
2005,6,0,3,2015,March,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,A livestock trader within the village,,3000,Yes,
2005,7,,1,2019,January,Cattle,Gave as dowry,,,,1,,Cultural reasons/dowry,,,,,,,,1
2006,1,,3,2009,April,Goat/Sheep,Exchange,,,,1,0,School fees/sick child/other consumption,,,Within the location,,800,,,
2006,1,,2,2009,January,Goat/Sheep,Sold,,,,3,1,Pay debt,,,Within the location,,2400,,,
2006,1,,1,2009,January,Goat/Sheep,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the location,,1000,,,
2006,2,,1,2010,April,Cattle,Loaned,,,,1,1,Other (specify),Herding,,Within the sub-location,,10000,,,
2007,2,,1,2009,November,Cattle,Loaned,,,,5,5,Other (specify),Herding,,Within the district,,15000,,,
2007,5,0,1,2013,February,Goat/Sheep,Sold,,,,1,1,School fees/sick child/other consumption,,,Within the district,,,7000,Yes,
2008,1,,1,2009,September,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,9000,,,
2008,4,0,1,2011,December,Camel,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,33000,Yes,
2008,5,0,1,2013,January,Camel,Sold,,,,2,2,Help others in bad times,,,Within the district,,,80000,Yes,
2008,6,0,1,2015,May,Cattle,Sold,,,,2,0,School fees/sick child/other consumption,,,,Large livestock market (e.g Marsabit and Merille),,100000,Yes,
2009,1,,1,2009,May,Cattle,Sold,,,,1,1,School fees/sick child/other consumption,,,Within the location,,6300,,,
2009,1,,2,2009,July,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the location,,6000,,,
2009,5,0,1,2013,April,Cattle,Gave as gifts,,,,1,1,Cultural reasons/dowry,,,Within the location,,,16000,Yes,
2009,7,,2,2020,June,Goat,Gave as gifts,,,,2,,School fees/sick child/other consumption,,,,,,,,2
