hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
10005,4,0,2,2011,December,Goat/Sheep,Sold,,,,3,0,Pay debt,,,Within the sub-location,,,9000,Yes,
10005,4,0,1,2012,March,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,25000,Yes,
10005,4,0,4,2012,August,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,8000,Yes,
10005,5,0,2,2013,July,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,70000,Yes,
10005,5,0,1,2012,December,Camel,Sold,,,,2,2,Cultural reasons/dowry,,,Within the location,,,100000,Yes,
10005,5,0,4,2013,April,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,Within the sub-location,,,8000,Yes,
10005,5,0,3,2013,February,Goat/Sheep,Sold,,,,3,3,Weak/poor performance,,,Within the sub-location,,,5400,Yes,
10005,7,,2,2020,May,Sheep,Gave as gifts,,,,4,,Coping with drought (need money to buy food/necessities duing drought),,,,,,,,2
10005,7,,2,2020,August,Camel,Loaned,,,,2,,Spread risks of loss,,,,,,,,2
10005,7,,1,2020,May,Camel,Gave as gifts,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,,,,2
10005,7,,1,2019,March,Goat,Gave as gifts,,,,3,,Help others in bad times,,,,,,,,2
10005,7,,1,2019,February,Sheep,Gave as gifts,,,,4,,For regular cash/income,,,,,,,,2
10005,7,,2,2020,May,Goat,Pay debt,,,,3,,School fees/sick child/other consumption,,,,,,,,2
10006,1,,1,2009,July,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,500,,,
10006,2,,1,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10006,3,0,1,2011,March,Goat/Sheep,Sold,,,,4,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,18000,Yes,
10006,3,0,2,2011,August,Goat/Sheep,Sold,,,,1,0,Weak/poor performance,,,Within the district,,,1000,Yes,
10006,4,0,1,2012,March,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,20000,Yes,
10006,4,0,2,2012,July,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2000,Yes,
10006,6,0,1,2014,November,Camel,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,30000,Yes,
10006,6,0,2,2014,December,Goat/Sheep,Sold,,,,3,3,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,3600,Yes,
10006,6,0,3,2015,June,Goat/Sheep,Gave as gifts,,,,4,1,Cultural reasons/dowry,,,,,,4000,Yes,
10006,7,,1,2020,April,Goat,Sold,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,3500,3500,,1
10006,7,,1,2020,November,Camel,Sold,,,,1,,Pay debt,,,,,20000,20000,,1
10007,1,,2,2009,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1000,,,
10007,1,,1,2009,July,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,1200,,,
10007,2,,1,2010,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10007,2,,2,2010,July,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3800,,,
10007,3,0,3,2010,November,Goat/Sheep,Sold,,,,5,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,7200,Yes,
10007,3,0,2,2011,April,Camel,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,36000,Yes,
10007,3,0,4,2011,March,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2600,Yes,
10007,3,0,1,2010,November,Camel,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,40000,Yes,
10007,4,0,4,2012,August,Goat/Sheep,Sold,,,,3,0,Pay debt,,,Within the location,,,9000,Yes,
10007,4,0,2,2012,July,Camel,Sold,,,,1,0,For regular cash/income,,,Within the location,,,40000,Yes,
10007,4,0,3,2012,January,Goat/Sheep,Sold,,,,4,1,For regular cash/income,,,Within the location,,,12000,Yes,
10007,4,0,1,2011,December,Camel,Sold,,,,1,0,For regular cash/income,,,Within the location,,,35000,Yes,
10007,5,0,4,2013,June,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,6500,Yes,
10007,5,0,3,2013,April,Goat/Sheep,Gave as gifts,,,,2,1,Help others in bad times,,,Within the sub-location,,,3400,Yes,
10007,5,0,6,2013,September,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,50000,Yes,
10007,5,0,2,2013,February,Goat/Sheep,Gave as gifts,,,,4,2,Help others in bad times,,,Within the district,,,7000,Yes,
10007,5,0,5,2013,August,Goat/Sheep,Gave as gifts,,,,1,1,Spread risks of loss,,,Within the location,,,1500,Yes,
10007,5,0,1,2012,October,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,50000,Yes,
10007,6,0,2,2015,February,Camel,Sold,,,,1,0,For regular cash/income,,,,Small livestock market,,20000,Yes,
10007,6,0,4,2015,June,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,,Small livestock market,,3000,Yes,
10007,6,0,1,2014,December,Camel,Sold,,,,1,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,25000,Yes,
10007,6,0,3,2015,April,Goat/Sheep,Sold,,,,3,0,Weak/poor performance,,,,Small livestock market,,6000,Yes,
10008,1,,2,2009,August,Goat/Sheep,Sold,,,,4,0,School fees/sick child/other consumption,,,Outside the district,,3400,,,
10008,1,,1,2009,April,Goat/Sheep,Sold,,,,8,0,School fees/sick child/other consumption,,,Outside the district,,4200,,,
10008,2,,2,2010,July,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3000,,,
10008,2,,1,2010,January,Camel,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,30000,,,
10009,1,,1,2008,November,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1000,,,
10009,1,,2,2009,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,850,,,
10009,2,,2,2010,July,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,2500,,,
10009,2,,1,2010,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,2000,,,
10009,3,0,2,2011,January,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,4000,Yes,
10009,3,0,1,2010,October,Camel,Sold,,,,2,2,For regular cash/income,,,Within the location,,,40000,Yes,
10009,4,0,4,2012,May,Goat/Sheep,Loaned,,,,5,5,Spread risks of loss,,,Within the sub-location,,,13000,Yes,
10009,4,0,1,2011,November,Camel,Gave as gifts,,,,3,3,Help others in bad times,,,Within the sub-location,,,60000,Yes,
10009,4,0,2,2011,November,Goat/Sheep,Sold,,,,4,0,For regular cash/income,,,Within the sub-location,,,11500,Yes,
10009,4,0,3,2012,February,Goat/Sheep,Sold,,,,4,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,10000,Yes,
10009,4,1,5,2012,July,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,10000,Yes,
10009,5,0,5,2013,August,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,12000,Yes,
10009,5,0,1,2012,November,Goat/Sheep,Loaned,,,,2,2,Help others in bad times,,,Within the sub-location,,,5000,Yes,
10009,5,0,4,2013,April,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,,4000,Yes,
10009,5,0,3,2013,February,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the sub-location,,,9000,Yes,
10009,5,0,2,2012,December,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the sub-location,,,9000,Yes,
10009,7,,2,2020,December,Sheep,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,1750,3500,,2
10009,7,,1,2019,March,Sheep,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,750,1500,,2
10009,7,,2,2020,September,Goat,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,1000,2000,,2
10009,7,,1,2020,April,Goat,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,1500,3000,,2
10010,1,,2,2009,July,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,900,,,
10010,1,,3,2009,August,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,1300,,,
10010,1,,1,2009,February,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1400,,,
10010,2,,1,2010,June,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,25000,,,
10010,2,,2,2010,January,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,3000,,,
10010,3,0,3,2011,February,Goat/Sheep,Sold,,,,2,0,Spread risks of loss,,,Within the sub-location,,,3000,Yes,
10010,3,0,2,2011,January,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,4500,Yes,
10010,3,0,1,2010,November,Camel,Exchange,,,,1,0,Cultural reasons/dowry,,,Within the sub-location,,,21000,Yes,
10010,4,0,1,2012,January,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,,30000,Yes,
10010,4,0,4,2012,June,Camel,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,40000,Yes,
10010,4,0,2,2012,February,Goat/Sheep,Gave as gifts,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2500,Yes,
10010,4,0,3,2012,April,Goat/Sheep,Sold,,,,1,0,Help others in bad times,,,Within the location,,,1800,Yes,
10010,5,0,1,2013,February,Camel,Sold,,,,1,0,Cultural reasons/dowry,,,Within the location,,,30000,Yes,
10010,5,0,4,2013,August,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the location,,,7000,Yes,
10010,5,0,2,2013,March,Camel,Loaned,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,60000,Yes,
10010,5,0,3,2013,April,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the sub-location,,,4000,Yes,
10010,6,0,3,2015,June,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,1200,Yes,
10010,6,0,1,2015,February,Camel,Loaned,,Long term borrowing/lending,Clan member,1,1,Coping with drought (need money to buy food/necessities duing drought),,,,,,35000,Yes,
10010,7,,1,2020,April,Sheep,Sold,,,,15,,Coping with drought (need money to buy food/necessities duing drought),,,,,1600,24000,,3
10010,7,,1,2020,April,Goat,Sold,,,,9,,Coping with drought (need money to buy food/necessities duing drought),,,,,1777.777832,16000,,2
10010,7,,3,2020,December,Sheep,Sold,,,,15,,School fees/sick child/other consumption,,,,,1200,18000,,3
10010,7,,2,2020,November,Goat,Gave as dowry,,,,9,,Coping with drought (need money to buy food/necessities duing drought),,,,,,,,2
10010,7,,1,2019,March,Camel,Sold,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,40000,40000,,1
10010,7,,2,2020,July,Sheep,Sold,,,,15,,Spread risks of loss,,,,,666.666687,10000,,3
10011,1,,1,2008,November,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1000,,,
10011,1,,3,2009,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1200,,,
10011,1,,2,2009,February,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,950,,,
10011,2,,1,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10011,3,0,2,2011,August,Goat/Sheep,Gave as gifts,,,,2,0,Help others in bad times,,,Within the sub-location,,,4000,Yes,
10011,3,0,1,2011,February,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,8600,Yes,
10011,4,0,3,2012,April,Goat/Sheep,Sold,,,,3,0,Pay debt,,,Within the sub-location,,,8300,Yes,
10011,4,0,4,2012,August,Goat/Sheep,Loaned,,,,2,2,Spread risks of loss,,,Within the sub-location,,,5000,Yes,
10011,4,0,2,2012,February,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,3200,Yes,
10011,4,0,1,2011,December,Goat/Sheep,Sold,,,,3,0,Pay debt,,,Within the sub-location,,,7200,Yes,
10011,5,0,1,2012,December,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,7500,Yes,
10011,5,0,3,2013,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,5000,Yes,
10011,5,0,2,2013,May,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the sub-location,,,6000,Yes,
10011,6,0,3,2015,September,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,,Large livestock market (e.g Marsabit and Merille),,3500,Yes,
10011,6,0,1,2014,December,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,Large livestock market (e.g Marsabit and Merille),,40000,Yes,
10011,6,0,2,2015,January,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,,Small livestock market,,4000,Yes,
10011,7,,2,2020,November,Sheep,Sold,,,,5,,Coping with drought (need money to buy food/necessities duing drought),,,,,900,4500,,2
10011,7,,1,2020,April,Sheep,Sold,,,,5,,Coping with drought (need money to buy food/necessities duing drought),,,,,800,4000,,2
10011,7,,1,2020,May,Goat,Sold,,,,3,,Coping with drought (need money to buy food/necessities duing drought),,,,,666.666687,2000,,2
10011,7,,2,2020,November,Goat,Sold,,,,3,,Pay debt,,,,,1166.666626,3500,,2
10012,1,,2,2009,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,800,,,
10012,1,,1,2008,November,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1200,,,
10012,2,,1,2010,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,2800,,,
10012,2,,2,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10012,3,0,1,2011,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,,2300,Yes,
10012,6,0,1,2014,December,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,A livestock trader within the village,,4000,Yes,
10012,6,0,5,2015,September,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,Large livestock market (e.g Marsabit and Merille),,20000,Yes,
10012,6,0,3,2015,March,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,,A livestock trader within the village,,4000,Yes,
10012,6,0,2,2015,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,3000,Yes,
10012,7,,1,2020,December,Sheep,Sold,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,1500,1500,,1
10012,7,,1,2020,August,Goat,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,2500,5000,,1
10013,1,,1,2008,November,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,1200,,,
10013,2,,2,2010,June,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,4000,,,
10013,2,,1,2010,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3000,,,
10013,3,0,2,2011,August,Goat/Sheep,Sold,,,,19,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,19000,Yes,
10013,3,0,1,2011,March,Camel,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,20000,Yes,
10013,4,0,1,2012,May,Camel,Sold,,,,1,0,For regular cash/income,,,Within the location,,,40000,Yes,
10013,4,0,3,2012,September,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,1800,Yes,
10013,4,0,2,2012,August,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,3000,Yes,
10013,5,0,3,2013,February,Camel,Sold,,,,1,0,For regular cash/income,,,Within the district,,,35000,Yes,
10013,5,0,2,2012,December,Camel,Hirb (animals givendue to loss),,,,2,2,Help others in bad times,,,Within the sub-location,,,60000,Yes,
10013,5,0,4,2013,May,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,Within the sub-location,,,9000,Yes,
10013,5,0,5,2013,July,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,,4000,Yes,
10013,5,0,1,2012,October,Camel,Sold,,,,1,0,For regular cash/income,,,Within the district,,,40000,Yes,
10013,6,0,3,2015,February,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,6000,Yes,
10013,6,0,1,2014,December,Goat/Sheep,Sold,,,,3,2,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,5400,Yes,
10013,6,0,4,2015,August,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,2200,Yes,
10013,6,1,5,2015,September,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,900,Yes,
10013,6,0,2,2015,January,Goat/Sheep,Gave as gifts,,,,2,2,Help others in bad times,,,,,,2000,Yes,
10013,7,,1,2020,August,Goat,Gave as gifts,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,,,,1
10013,7,,1,2020,November,Sheep,Sold,,,,1,,Help others in bad times,,,,,2000,2000,,1
10014,1,,1,2009,April,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,1000,,,
10014,2,,1,2010,January,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,3000,,,
10014,2,,2,2010,July,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,28000,,,
10014,3,0,3,2011,September,Goat/Sheep,Gave as gifts,,,,1,1,Help others in bad times,,,Within the location,,,2300,No,
10014,3,0,2,2011,September,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,6000,No,
10014,3,0,1,2011,March,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the location,,,7500,No,
10014,4,0,1,2011,November,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,3000,Yes,
10014,4,0,2,2012,February,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2500,Yes,
10014,4,0,3,2012,June,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,3000,Yes,
10014,5,0,1,2013,February,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,4000,Yes,
10014,5,0,2,2013,July,Goat/Sheep,Gave as gifts,,,,1,0,Help others in bad times,,,Within the sub-location,,,1500,Yes,
10014,6,0,4,2015,September,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,A livestock trader within the village,,1800,Yes,
10014,6,0,2,2015,January,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,,Small livestock market,,3800,Yes,
10014,6,0,1,2014,November,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,4200,Yes,
10014,6,0,3,2015,June,Goat/Sheep,Gave as gifts,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,,,1200,Yes,
10014,7,,1,2020,December,Camel,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,28000,56000,,1
10014,7,,1,2020,April,Goat,Sold,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,1500,1500,,1
10014,7,,1,2020,September,Sheep,Sold,,,,1,,Pay debt,,,,,2500,2500,,1
10015,1,,1,2009,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1200,,,
10015,2,,1,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10015,3,0,2,2011,April,Goat/Sheep,Loaned,,,,12,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,12000,Yes,
10015,3,0,1,2011,January,Camel,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,30000,Yes,
10016,1,,1,2008,November,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,800,,,
10016,1,,2,2009,May,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,560,,,
10016,2,,1,2010,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,2800,,,
10016,2,,2,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10016,3,0,3,2011,August,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,3800,Yes,
10016,3,0,1,2010,November,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,10000,Yes,
10016,3,0,2,2011,March,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,3400,Yes,
10016,4,0,2,2012,March,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,,3000,Yes,
10016,4,0,3,2012,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,3000,Yes,
10016,4,0,1,2012,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,3500,Yes,
10016,5,0,5,2013,August,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2100,Yes,
10016,5,0,4,2013,May,Goat/Sheep,Gave as gifts,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,3000,Yes,
10016,5,0,1,2013,January,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,10000,Yes,
10016,5,0,3,2013,January,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,5600,Yes,
10016,5,0,2,2013,June,Camel,Pay debt,,,,1,0,Pay debt,,,Within the sub-location,,,30000,Yes,
10016,6,0,1,2015,January,Camel,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,40000,Yes,
10016,7,,2,2020,December,Sheep,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,500,1000,,2
10016,7,,1,2020,May,Goat,Sold,,,,1,,Coping with drought (need money to buy food/necessities duing drought),,,,,2000,2000,,1
10016,7,,1,2020,September,Sheep,Sold,,,,2,,Coping with drought (need money to buy food/necessities duing drought),,,,,800,1600,,2
10017,1,,1,2009,July,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,800,,,
10017,2,,1,2010,January,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3800,,,
10017,2,,2,2010,July,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,25500,,,
10017,3,0,3,2011,February,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,4200,Yes,
10017,3,0,1,2010,December,Goat/Sheep,Sold,,,,6,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,7200,Yes,
10017,3,0,2,2011,January,Goat/Sheep,Pay debt,,,,3,2,Weak/poor performance,,,Within the sub-location,,,2700,Yes,
10017,4,0,4,2012,January,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,6000,Yes,
10017,4,0,2,2012,May,Camel,Sold,,,,1,0,Pay debt,,,Within the district,,,21000,Yes,
10017,4,0,1,2011,November,Camel,Sold,,,,1,0,For regular cash/income,,,Within the district,,,23000,Yes,
10017,4,1,3,2012,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,6000,Yes,
10017,5,0,1,2013,January,Cattle,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,17000,Yes,
10017,5,0,2,2013,July,Goat/Sheep,Sold,,,,2,2,Weak/poor performance,,,Within the location,,,4000,Yes,
10017,6,0,1,2015,January,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,,A livestock trader passing by my village,,2000,Yes,
10017,6,0,2,2015,March,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,7000,Yes,
10018,1,,1,2008,October,Goat/Sheep,Gave as gifts,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,950,,,
10018,1,,2,2009,July,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,800,,,
10018,2,,2,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3000,,,
10018,2,,1,2010,February,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,3500,,,
10018,3,0,1,2010,December,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,3600,Yes,
10018,3,0,2,2011,February,Goat/Sheep,Gave as gifts,,,,4,3,Spread risks of loss,,,Within the location,,,1000,Yes,
10018,4,0,1,2012,July,Camel,Sold,,,,1,0,For regular cash/income,,,Within the location,,,25000,Yes,
10018,4,0,2,2012,February,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,3000,Yes,
10018,5,0,2,2013,March,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the location,,,1500,Yes,
