hhid,round,conflict_yn,conflict_why_1,conflict_why_2,conflict_why_3,conflict_why_4,conflict_why_5,conflict_why_6,conflict_why_7,conflict_why_97,conflict_why_other,conflict_impact_yn,conflict_impact_how_1,conflict_impact_how_2,conflict_impact_how_3,conflict_impact_how_4,conflict_impact_how_5,conflict_impact_how_6,conflict_impact_how_7,conflict_impact_how_8,conflict_impact_how_9,conflict_impact_how_10,conflict_impact_how_97,conflict_impact_how_other,conflict_community_impact_1,conflict_community_impact_2,conflict_community_impact_3,conflict_community_impact_4,conflict_community_impact_5,conflict_community_impact_6,conflict_community_impact_97,conflict_community_impact_other
2034,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,No,
2036,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2038,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,
2041,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2044,7,Yes,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2045,7,Yes,Yes,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,No,
2046,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,,Yes,Yes,No,No,Yes,No,No,
2047,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2048,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2049,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
2050,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,No,No,No,No,No,Yes,The main roads were not safe
2051,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2053,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,,Yes,Yes,No,No,No,No,No,
2057,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,
2065,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
2067,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
2068,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,No,No,
2069,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
2072,7,Yes,Yes,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,No,No,No,No,No,No,Yes,None
2073,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,7,Yes,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2076,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,
2077,7,Yes,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
2078,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2080,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2082,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
2084,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
2089,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2090,7,Yes,No,No,No,No,No,No,No,Yes,Politics,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2091,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2095,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,7,Yes,Yes,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,No,Yes,No,No,No,No,No,
2097,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,
