hhid,round,comment,s14q1,s14q2,s14q2b,s14q2a,s14q4a,s14q4b,s14q3,s14q3_a,s14q3_b,s14q5,s14q6,s14q6b,s14q7,s14q8,s14q9,s14q10,s14q11,s14q51,s14q52,s14q52b,s14q24,s14q25,s14q28,s14q53,s14q54,s14q83,s14q55,s14q56,s14q56b,s14q57,s14q57b,s14q51_a,s14q51_b,s14q51_c,s14q51_d,s14q51_e,s14q51_f,s14q73,s14q71,s14q72,s14q18a,s14q18a2,s14q18b,s14q19a,s14q19a2,s14q19b,s14q20a,s14q20a2,s14q20b,s14q21a,s14q21a2,s14q21b,s14q5_r1,s14q6_r1,s14q6b_r1,s14q7_r1,s14q8_r1,s14q9_r1,s14q9b_r1,s14q10_r1,s14q10b_r1,s14q11_r1,s14q12,s14q13,s14q13b,s14q14,s14q15,s14q16,s14q16b,s14q17,s14q58_r23,s14q58a_r23,s14q58b_r23,s14q58,s14q58a,s14q58b,s14q59,s14q59b,s14q59c,s14q5_r7,s14q8_r7,debt_3,debt_4,debt_5,debt_6,debt_5_support_yn,debt_5_support_who,debt_7,debt_8,debt_9,debt_10
4074,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4074,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,
4074,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,3000,No,,,,No,,No,
4075,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Trader,,Quite difficult (2 out of 6 chances),Bank,,Impossible,Private (family/friend etc.),,Very easy (always get it),MFI/FSA,,Quite difficult (2 out of 6 chances),1,,,1,2000,Private (family/friend etc),,Food,,2000,No,Don't need it,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075,2,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Trader,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4075,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Other (specify),FEAR OF NOT REPAYING BACK,,,,,,,,,,,,,,,,,,
4075,4,0,Yes,At home,,,Cash saving is not large enough,,4500,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4075,5,0,Yes,At home,,,Cash saving is not large enough,,2000,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4075,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4075,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,8000,No,,,,No,,No,
4076,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Trader,,Very easy (always get it),Bank,,Very difficult (1 out of 6 chances),Informal saving scheme (e.g. merry go round),,Quite difficult (2 out of 6 chances),MFI/FSA,,Very difficult (1 out of 6 chances),2,Prefer not to owe money,,,,,,,,,Yes,,,5,1000,Food,,1000,,,,,,,,,,,,,,,,,,,,,
4076,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Bank,,Very difficult (1 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Don't need it,,,,,,,,,,,,,,,,,,,
4076,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,less than Ksh 1100,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4076,4,0,Yes,At home,,,More costly than other choices,,7600,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4076,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4076,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4076,7,,Yes,At home,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,60000,Yes,2000,No,,,,No,,No,
4077,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,Yes,,,,,,,,,,,,,,
4078,1,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Impossible,1,,,1,100,Private (family/friend etc),,Health costs,,100,Yes,,,15,1500,Food,,1500,,,,,,,,,,,,,,,,,,,,,
4078,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4078,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Trader,,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),NGOs,,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Other (specify),our location is very far from  town,,,,,,,,,,,,,,,,,,
4078,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4078,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4078,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,No one would lend,,,,,,,,,,,,,
4078,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,500,No,,,,No,,No,
4079,1,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Impossible,2,-77,-77,,,,,,,,Yes,,,15,11000,Food,,11000,,,,,,,,,,,,,,,,,,,,,
4079,2,,Yes,At home,,,Cash saving is not large enough,,10000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4079,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,Don't know,Private (family/friend etc.),,Very easy (always get it),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,,,,,,,,,,,,,,,,,,
4079,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4079,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4079,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,No,Prefer not to owe credit,,,,,,,,,,,,,
4079,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,2000,No,,,,No,,No,
4082,2,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Bank,,Very easy (always get it),Money lender,,Very easy (always get it),Religious organization,,Very easy (always get it),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4082,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
4082,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,Yes,,,,,,,,,,,,,,
4082,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4082,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4082,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
4083,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
4083,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4083,4,0,Yes,At home,,,More costly than other choices,,10000,,,No,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Prefer not to owe credit,,,,,,,,,,,,,
4083,5,0,Yes,At home,,,Cash saving is not large enough,,500,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4083,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4084,2,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Don't need it,,,,,,,,,,,,,,,,,,,
4084,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4084,4,0,Yes,At home,,,Do not trust bank/saving association,,3000,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,No,Prefer not to owe credit,,,,,,,,,,,,,
4084,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4084,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4084,7,,Yes,At home,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,5000,No,,,,No,,No,
4086,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Trader,,Quite easy (4 out of 6 chances),Informal saving scheme (e.g. merry go round),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4086,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Money lender,,Quite difficult (2 out of 6 chances),Bank,,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4086,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4086,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
4086,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4086,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,4000,No,,,,No,,No,
4087,2,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4087,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,O.K. (3 out of 6 chances),Trader,,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
4087,4,0,Yes,At home,,,Do not trust bank/saving association,,6000,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,No,Prefer not to owe credit,,,,,,,,,,,,,
4087,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4087,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4087,7,,Yes,At home,,,,,.a,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,3500,No,,,,No,,No,
4089,2,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Trader,,Impossible,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
4089,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,SACCO/ Cooperatives,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Trader,,Quite easy (4 out of 6 chances),NGOs,,O.K. (3 out of 6 chances),,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,,,,,,,,,,,,,,,,,,
4089,4,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
4089,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,Yes,,,,,,,,,,,,,,
4089,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4089,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,10000,No,,,,No,,No,
4090,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Private (family/friend etc.),,Impossible,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4090,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,Trader,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Don't need it,,,,,,,,,,,,,,,,,,,
4090,4,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,less than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: no-one has money,,No,Dont need it,,,,,,,,,,,,,
4090,5,0,No,,,,,,,,,,,,,,,,,No,Other (specify),dont have cash to lend,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
4090,6,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,Yes,,,,,,,,,,,,,,
4090,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,5000,Yes,4000,No,,No,,No,
4091,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very easy (always get it),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Hirb or NGOs,,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
4091,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Bank,,Impossible,,,,,,,,,,,,,,,,,,,No,Other (specify),FEAR OF NOT REPAYING BACK,,,,,,,,,,,,,,,,,,
4091,4,0,Yes,At home,,,Cash saving is not large enough,,5000,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
4091,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,Yes,,,,,,,,,,,,,,
4091,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,No one would lend,,,,,,,,,,,,,
4095,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Impossible,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
4095,3,0,Yes,At home,,,Cash saving is not large enough,,2000,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
