hhid,round,comment,animaltype,s13q1,s13q2
1017,5,0,Cat,0,0
1017,5,0,poultry,0,0
1017,5,0,Donkey/Ass/mule,0,0
1017,6,0,Dog,0,0
1017,6,0,Cat,0,0
1017,6,0,poultry,0,0
1017,6,0,Donkey/Ass/mule,0,0
1018,1,,poultry,2,2
1018,1,,Donkey/Ass/mule,0,0
1018,2,,poultry,4,4
1018,2,,Dog,0,0
1018,2,,Cat,0,0
1018,2,,Donkey/Ass/mule,0,0
1018,3,0,poultry,10,10
1018,3,0,Dog,0,0
1018,3,0,Cat,0,0
1018,3,0,Donkey/Ass/mule,0,0
1018,4,0,Cat,0,0
1018,4,0,Dog,0,0
1018,4,0,Donkey/Ass/mule,0,0
1018,4,0,poultry,5,0
1018,5,0,Cat,0,0
1018,5,0,poultry,0,0
1018,5,0,Dog,0,0
1018,5,0,Donkey/Ass/mule,0,0
1018,6,0,Donkey/Ass/mule,0,0
1018,6,0,poultry,0,0
1018,6,0,Dog,0,0
1018,6,0,Cat,1,1
1019,1,,poultry,0,0
1019,1,,Donkey/Ass/mule,0,0
1019,2,,poultry,2,2
1019,2,,Donkey/Ass/mule,0,0
1019,2,,Dog,0,0
1019,2,,Cat,1,1
1019,3,0,Cat,0,0
1019,3,0,poultry,0,0
1019,3,0,Dog,0,0
1019,3,0,Donkey/Ass/mule,0,0
1019,4,0,poultry,0,0
1019,4,0,Dog,0,0
1019,4,0,Donkey/Ass/mule,0,0
1019,4,0,Cat,0,0
1019,5,0,Cat,2,2
1019,5,0,Dog,1,1
1019,5,0,Donkey/Ass/mule,0,0
1019,5,0,poultry,3,3
1019,6,0,poultry,0,0
1019,6,0,Donkey/Ass/mule,0,0
1019,6,0,Dog,0,0
1019,6,0,Cat,0,0
1020,1,,Donkey/Ass/mule,0,0
1020,1,,poultry,15,15
1020,2,,Donkey/Ass/mule,0,0
1020,2,,Dog,3,3
1020,2,,Cat,2,2
1020,2,,poultry,10,10
1020,3,0,Donkey/Ass/mule,0,0
1020,3,0,poultry,20,20
1020,3,0,Dog,3,3
1020,3,0,Cat,2,2
1021,1,,Donkey/Ass/mule,2,2
1021,1,,poultry,0,0
1021,2,,Donkey/Ass/mule,2,2
1021,2,,Dog,1,1
1021,2,,poultry,0,0
1021,2,,Cat,1,1
1021,3,0,poultry,0,0
1021,3,0,Cat,1,1
1021,3,0,Donkey/Ass/mule,2,2
1021,3,0,Dog,0,0
1021,4,0,Cat,5,5
1021,4,0,Donkey/Ass/mule,2,2
1021,4,0,Dog,0,0
1021,4,0,poultry,0,0
1021,5,0,Cat,1,2
1021,5,0,Dog,0,0
1021,5,0,poultry,0,0
1021,5,0,Donkey/Ass/mule,2,3
1021,6,0,Donkey/Ass/mule,1,1
1021,6,0,Dog,0,0
1021,6,0,Cat,1,1
1021,6,0,poultry,15,15
1022,1,,Donkey/Ass/mule,0,0
1022,1,,poultry,0,0
1022,2,,Donkey/Ass/mule,0,0
1022,2,,Cat,0,0
1022,2,,poultry,0,0
1022,2,,Dog,0,0
1022,3,0,Cat,0,0
1022,3,0,poultry,0,0
1022,3,0,Donkey/Ass/mule,0,0
1022,3,0,Dog,0,0
1022,4,0,Dog,0,0
1022,4,0,Cat,0,0
1022,4,0,Donkey/Ass/mule,0,0
1022,4,0,poultry,7,7
1022,5,0,Cat,0,0
1022,5,0,Dog,0,0
1022,5,0,poultry,6,6
1022,5,0,Donkey/Ass/mule,0,0
1022,6,0,poultry,0,0
1022,6,0,Dog,0,0
1022,6,0,Cat,0,0
1022,6,0,Donkey/Ass/mule,0,0
1023,1,,poultry,1,1
1023,1,,Donkey/Ass/mule,1,1
1023,2,,Dog,0,0
1023,2,,Donkey/Ass/mule,0,0
1023,2,,poultry,2,2
1023,2,,Cat,0,0
1023,3,0,Dog,0,0
1023,3,0,Cat,0,0
1023,3,0,poultry,4,4
1023,3,0,Donkey/Ass/mule,0,0
1023,4,0,Dog,0,0
1023,4,0,Cat,0,0
1023,4,0,Donkey/Ass/mule,0,0
1023,4,0,poultry,5,5
1023,5,0,Cat,0,0
1023,5,0,Donkey/Ass/mule,0,0
1023,5,0,Dog,0,0
1023,5,0,poultry,2,2
1023,6,0,Donkey/Ass/mule,0,0
1023,6,0,Cat,0,0
1023,6,0,Dog,0,0
1023,6,0,poultry,0,0
1024,1,,Donkey/Ass/mule,1,1
1024,1,,poultry,2,2
1024,2,,Cat,0,0
1024,2,,Donkey/Ass/mule,1,1
1024,2,,poultry,6,6
1024,2,,Dog,0,0
1024,3,0,Donkey/Ass/mule,1,1
1024,3,0,Dog,0,0
1024,3,0,Cat,0,0
1024,3,0,poultry,4,4
1024,4,0,poultry,4,4
1024,4,0,Cat,1,1
1024,4,0,Dog,0,0
1024,4,0,Donkey/Ass/mule,1,1
1024,5,1,poultry,3,3
1024,5,1,Donkey/Ass/mule,1,1
1024,5,1,Cat,1,1
1024,5,0,Dog,0,0
1024,6,0,poultry,1,1
1024,6,0,Donkey/Ass/mule,1,1
1024,6,0,Cat,0,0
1024,6,0,Dog,1,1
1025,1,,Donkey/Ass/mule,0,0
1025,1,,poultry,0,0
1025,2,,Cat,0,0
1025,2,,poultry,0,0
1025,2,,Dog,0,0
1025,2,,Donkey/Ass/mule,0,0
1025,3,0,Donkey/Ass/mule,0,0
1025,3,0,Cat,1,1
1025,3,0,Dog,0,0
1025,3,0,poultry,0,0
1025,4,0,poultry,27,27
1025,4,0,Donkey/Ass/mule,2,2
1025,4,0,Dog,0,0
1025,4,0,Cat,1,1
1025,5,0,poultry,6,6
1025,5,0,Cat,0,0
1025,5,0,Dog,2,2
1025,5,0,Donkey/Ass/mule,0,0
1025,6,0,Cat,0,0
1025,6,0,poultry,0,0
1025,6,0,Donkey/Ass/mule,0,0
1025,6,0,Dog,0,0
1026,1,,Donkey/Ass/mule,2,2
1026,1,,poultry,0,0
1026,2,,Donkey/Ass/mule,1,1
1026,2,,Cat,0,0
1026,2,,poultry,0,0
1026,2,,Dog,0,0
1026,3,0,Donkey/Ass/mule,1,1
1026,3,0,Dog,0,0
1026,3,0,Cat,1,1
1026,3,0,poultry,0,0
1026,4,0,poultry,0,0
1026,4,0,Donkey/Ass/mule,2,2
1026,4,0,Dog,0,0
1026,4,0,Cat,5,5
1026,5,0,poultry,0,0
1026,5,0,Dog,2,2
1026,5,0,Cat,7,7
1026,5,0,Donkey/Ass/mule,2,2
1026,6,0,Donkey/Ass/mule,0,0
1026,6,0,poultry,0,0
1026,6,0,Cat,2,2
1026,6,0,Dog,3,3
1027,1,,Donkey/Ass/mule,0,0
1027,1,,poultry,0,0
1027,2,,Dog,0,0
1027,2,,poultry,0,0
1027,2,,Donkey/Ass/mule,0,0
1027,2,,Cat,0,0
1027,3,0,Cat,1,1
1027,3,0,Dog,0,0
1027,3,0,poultry,2,2
1027,3,0,Donkey/Ass/mule,0,0
1027,4,0,poultry,14,14
1027,4,0,Dog,0,0
1027,4,0,Donkey/Ass/mule,0,0
1027,4,0,Cat,0,0
1027,5,0,Dog,0,0
1027,5,0,Donkey/Ass/mule,0,0
1027,5,0,Cat,1,1
1027,5,0,poultry,5,5
1027,6,0,Cat,1,1
1027,6,0,Dog,0,0
1027,6,0,poultry,2,2
1027,6,0,Donkey/Ass/mule,0,0
1029,1,,poultry,0,0
1029,1,,Donkey/Ass/mule,0,0
1029,2,,poultry,0,0
1029,2,,Cat,0,0
1029,2,,Donkey/Ass/mule,3,3
1029,2,,Dog,0,0
1029,3,0,Cat,0,0
1029,3,0,Dog,0,0
1029,3,0,Donkey/Ass/mule,0,0
1029,3,0,poultry,0,0
1029,4,0,poultry,0,0
1029,4,0,Dog,0,0
1029,4,0,Donkey/Ass/mule,0,0
1029,4,0,Cat,0,0
1029,5,0,poultry,0,0
1029,5,0,Dog,0,0
1029,5,0,Cat,0,0
1029,5,0,Donkey/Ass/mule,0,0
1029,6,0,Cat,0,0
1029,6,0,Dog,0,0
1029,6,0,Donkey/Ass/mule,0,0
1029,6,0,poultry,0,0
1031,1,,Donkey/Ass/mule,3,1
1031,1,,poultry,3,3
1031,2,,poultry,3,3
1031,2,,Cat,1,1
1031,2,,Donkey/Ass/mule,1,1
1031,2,,Dog,1,1
1031,3,0,Dog,0,0
1031,3,0,poultry,0,0
1031,3,0,Donkey/Ass/mule,2,2
1031,3,0,Cat,0,0
1031,4,0,Cat,0,0
1031,4,0,poultry,0,0
1031,4,0,Donkey/Ass/mule,0,0
1031,4,0,Dog,0,0
1031,5,0,Donkey/Ass/mule,1,2
1031,5,0,poultry,0,0
1031,5,0,Cat,0,0
