COUNTRY,DISTRICT,UAI_NAME,year,sales_season,firm,premium_rate,tlu,tsi_usd
KENYA,ISIOLO,GARBA TULLA,2015,Aug/Sep,TIA,.0871919766068459,136.8,19152
KENYA,ISIOLO,KINNA,2015,Aug/Sep,TIA,.0943983197212219,114.2,15988
KENYA,ISIOLO,CENTRAL ISIOLO,2015,Aug/Sep,APA,.0931,223.5,31290
KENYA,ISIOLO,MERTI,2015,Aug/Sep,APA,.0548,78.3,10962
KENYA,ISIOLO,OLDONYIRO,2015,Aug/Sep,APA,.0889,566.7,79338
KENYA,MARSABIT,LAISAMIS,2015,Aug/Sep,APA,.0887,16.8,2352
ETHIOPIA,BORANA,GOLBO DIRE,2015,Aug/Sep,OIC,.0792,10.5,1752
ETHIOPIA,BORANA,QAQALO MOYALE,2015,Aug/Sep,OIC,.0878,47.09999847412109,7464
ETHIOPIA,BORANA,MOYALE,2015,Aug/Sep,OIC,.081,82.09999847412109,13752
ETHIOPIA,BORANA,MALBE TELTELE,2015,Aug/Sep,OIC,.0756,33.20000076293945,5280
ETHIOPIA,BORANA,GOLBO_ET,2015,Aug/Sep,OIC,.0701,8.5,1464
ETHIOPIA,BORANA,MALBE YABELLO,2015,Aug/Sep,OIC,.0863,45.79999923706055,8112
ETHIOPIA,BORANA,GARA MEGA,2015,Aug/Sep,OIC,.0971,2.099999904632568,504
ETHIOPIA,BORANA,GARACHA DIRE,2015,Aug/Sep,OIC,.0786,17,3408
ETHIOPIA,BORANA,BADA ARERO,2015,Aug/Sep,OIC,.11,5.199999809265137,864
ETHIOPIA,BORANA,GOMOLE,2015,Aug/Sep,OIC,.0828,49.09999847412109,7848
ETHIOPIA,BORANA,DUGDA DAWA,2015,Aug/Sep,OIC,.0871,1.200000047683716,192
ETHIOPIA,BORANA,GAMOJI MELKA SODA,2015,Aug/Sep,OIC,.096,22.60000038146973,3696
ETHIOPIA,BORANA,MALBE DILLO,2015,Aug/Sep,OIC,.0736,44.90000152587891,8280
ETHIOPIA,BORANA,MIRGA ARERO,2015,Aug/Sep,OIC,.1111,22.29999923706055,3336
KENYA,MARSABIT,NORTH HORR,2016,Jan/Feb,APA,.056,50.2,6887.4399
KENYA,MARSABIT,DUKANA,2016,Jan/Feb,APA,.0629,12.5,1715
KENYA,MARSABIT,MAIKONA,2016,Jan/Feb,TIA,.0788506120443344,8.699999999999999,1193.64
KENYA,MARSABIT,MAIKONA,2016,Jan/Feb,APA,.0789,10,1372
KENYA,MARSABIT,KARGI,2016,Jan/Feb,TIA,.0840476155281067,.6,82.32
KENYA,MARSABIT,LOIYANGALANI,2016,Jan/Feb,APA,.0801,27.9,3827.8801
KENYA,MARSABIT,KARGI,2016,Jan/Feb,APA,.084,9.5,1303.4
KENYA,MARSABIT,MT KULAL,2016,Jan/Feb,APA,.1043,67.5,9261
KENYA,MANDERA,LAFEY,2016,Jan/Feb,TIA,.0747857168316841,8,1097.6
KENYA,MOYALE,URAN,2016,Jan/Feb,TIA,.0962037295103073,17.7,2428.4399
KENYA,ISIOLO,GARBA TULLA,2016,Jan/Feb,TIA,.0872216001152992,6.7,919.23999
KENYA,GARISSA,SANKURI,2016,Jan/Feb,TIA,.0804154425859451,6.4,878.08002
KENYA,GARISSA,BURA GARISSA,2016,Jan/Feb,TIA,.0942908674478531,13.5,1852.2001
KENYA,GARISSA,CENTRAL GARISSA,2016,Jan/Feb,TIA,.0684999972581863,1,137.2
KENYA,WAJIR,TARBAJ,2016,Jan/Feb,TIA,.0890031754970551,8.000000000000002,1097.6
KENYA,GARISSA,MASALANI,2016,Jan/Feb,TIA,.0838154777884483,5.5,754.60004
KENYA,ISIOLO,CENTRAL ISIOLO,2016,Jan/Feb,TIA,.093105360865593,9.399999999999999,1289.6801
KENYA,MOYALE,OBBU,2016,Jan/Feb,TIA,.0899,6,823.20001
KENYA,WAJIR,WAJIR-BOR,2016,Jan/Feb,TIA,.0889019370079041,196.7,26987.24
KENYA,WAJIR,BUNA,2016,Jan/Feb,TIA,.086499996483326,.7,96.040001
KENYA,GARISSA,MODOGASHE,2016,Jan/Feb,TIA,.0618331171572208,9.4,1289.6801
KENYA,MOYALE,CENTRAL MOYALE,2016,Jan/Feb,TIA,.0824,14.4,1975.6801
KENYA,GARISSA,IJARA,2016,Jan/Feb,TIA,.0764642804861069,1.2,164.64
KENYA,MOYALE,GOLBO_KE,2016,Jan/Feb,TIA,.0968839302659035,4,548.79999
KENYA,MANDERA,WARGADUD,2016,Jan/Feb,TIA,.0681963860988617,14.7,2016.84
KENYA,ISIOLO,OLDONYIRO,2016,Jan/Feb,TIA,.0888949707150459,8.4,1152.48
KENYA,MANDERA,KHALALIO,2016,Jan/Feb,TIA,.0767142847180367,14,1920.8
KENYA,GARISSA,SANGAILU,2016,Jan/Feb,TIA,.0893718153238297,8.4,1152.48
KENYA,GARISSA,DADAAB,2016,Jan/Feb,TIA,.0704189762473106,130.4,17890.881
KENYA,ISIOLO,MERTI,2016,Jan/Feb,TIA,.0547960251569748,21.3,2922.3601
KENYA,WAJIR,SEBULE,2016,Jan/Feb,TIA,.1050984412431717,198.5000000000001,27234.201
KENYA,WAJIR,HADADO,2016,Jan/Feb,TIA,.0351964272558689,360,49392
KENYA,MANDERA,TAKABA,2016,Jan/Feb,TIA,.0872857123613358,7,960.40002
KENYA,WAJIR,CENTRAL WAJIR,2016,Jan/Feb,TIA,.0775844678282738,49.7,6818.8398
KENYA,GARISSA,DANYERE,2016,Jan/Feb,TIA,.0894956439733505,14.1,1934.52
KENYA,MANDERA,ELWAK,2016,Jan/Feb,TIA,.0724999979138374,5.4,740.88
KENYA,MANDERA,CENTRAL MANDERA,2016,Jan/Feb,TIA,.0824013650417328,3.8,521.35999
KENYA,WAJIR,ELDAS,2016,Jan/Feb,TIA,.0619054287672043,121,16601.201
KENYA,ISIOLO,KINNA,2016,Jan/Feb,TIA,.0944037437438965,21.9,3004.6799
KENYA,ISIOLO,SERICHO,2016,Jan/Feb,TIA,.0560000017285347,1,137.2
KENYA,TURKANA,TURKANA CENTRAL,2016,Jan/Feb,APA,.179,6.1,836.91998
KENYA,MARSABIT,GADAMOJI,2016,Jan/Feb,APA,.1106,34.3,4705.96
KENYA,MARSABIT,LAISAMIS,2016,Jan/Feb,APA,.0887,7.4,1015.28
KENYA,TURKANA,KAPEDO,2016,Jan/Feb,APA,.089,12.3,1687.5601
KENYA,TURKANA,LETEA,2016,Jan/Feb,APA,.208,11.2,1536.64
KENYA,TURKANA,TURKWEL,2016,Jan/Feb,APA,.143,3.5,480.20001
KENYA,TURKANA,KALAPAT PLAINS,2016,Jan/Feb,APA,.128,2.8,384.16
KENYA,TURKANA,KATILU,2016,Jan/Feb,APA,.126,2.2,301.84
KENYA,TURKANA,KIBISH,2016,Jan/Feb,APA,.157,17.3,2373.5601
KENYA,ISIOLO,OLDONYIRO,2016,Jan/Feb,APA,.0889,473.6,64977.922
KENYA,MOYALE,OBBU,2016,Jan/Feb,APA,.0899,7.1,974.12
KENYA,ISIOLO,MERTI,2016,Jan/Feb,APA,.0548,6,823.20001
KENYA,MOYALE,CENTRAL MOYALE,2016,Jan/Feb,APA,.0824,10,1372
KENYA,TURKANA,LOIMA,2016,Jan/Feb,APA,.143,40.2,5515.4399
KENYA,TURKANA,NANAAM,2016,Jan/Feb,APA,.159,15.8,2167.76
