hhid,round,comment,Loan_ID,s14q60a,s14q60,s14q60b,s14q61,s14q61b,s14q61c,s14q79,s14q81,s14q81b,s14q82,s14q62,s14q62_r2,s14q66,s14q65c,s14q66a,s14q66_r23,s14q64,s14q65a,s14q65b,s14q67,s14q68a,s14q68b,s14q69,s14q70,s14q70b,s14q92,s14q92b,s14q93,s14q94,s14q80,s14q91
9012,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9012,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9013,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9014,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9015,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9016,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9017,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9019,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9020,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9021,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9022,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9023,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9024,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9025,2,,1,,Trader,,,,,,,,,,5,2000,,,2000,No,,,No,,,500,Food,,,,,,,
9025,2,,11,,,,Food,,Yes,,,,,,7,1500,,,1500,No,,,No,,,0,,,,,,,,
9025,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9025,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9025,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9025,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9025,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9026,2,,1,,Trader,,,,,,,,,,7,10000,,,10000,Yes,12,.b,No,,,1000,Health costs,,,,,,,
9026,2,,11,,,,Food,,Yes,,,,,,9,10000,,,1000,No,,,No,,,0,,,,,,,,
9026,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9026,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9026,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9026,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9026,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9027,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9028,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9029,2,,1,,Private (family/friend etc.),,,,,,,,,,7,2000,,,2000,No,,,No,,,500,Food,,,,,,,
9029,2,,11,,,,Food,,Yes,,,,,,8,3000,,,3000,No,,,No,,,1000,,,,,,,,
9029,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9029,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9029,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9029,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9029,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9030,2,,1,,Trader,,,,,,,,,,7,4200,,,4200,No,,,No,,,1000,Food,,,,,,,
9030,2,,11,,,,Food,,Yes,,,,,,9,3000,,,3000,No,,,No,,,0,,,,,,,,
9030,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9030,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9030,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9030,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9030,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9031,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9032,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9033,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9034,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9035,2,,1,,Trader,,,,,,,,,,4,2000,,,2000,No,,,No,,,500,Food,,,,,,,
9035,2,,11,,,,Food,,Yes,,,,,,8,1000,,,1000,No,,,No,,,400,,,,,,,,
9035,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9035,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9035,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9035,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9035,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9036,2,,1,,Trader,,,,,,,,,,7,2000,,,2000,No,,,No,,,1000,Food,,,,,,,
9036,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,0,,,,,,,,
9036,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9036,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9036,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9036,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9036,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9037,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9038,2,,1,,Trader,,,,,,,,,,8,3000,,,3000,No,,,No,,,2000,Food,,,,,,,
9038,2,,11,,,,Food,,Yes,,,,,,9,2000,,,2000,No,,,No,,,1000,,,,,,,,
9038,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9038,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9038,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9038,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9038,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9039,2,,1,,Trader,,,,,,,,,,4,2000,,,2000,No,,,No,,,2000,Food,,,,,,,
9039,2,,11,,,,Food,,Yes,,,,,,6,1500,,,1500,No,,,No,,,1500,,,,,,,,
9039,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9039,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9039,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9039,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9039,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9040,2,,1,,Trader,,,,,,,,,,4,2000,,,2000,No,,,No,,,2000,Food,,,,,,,
9040,2,,11,,,,Food,,Yes,,,,,,8,3000,,,3000,No,,,No,,,700,,,,,,,,
9040,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9040,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9040,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9040,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9040,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9041,2,,1,,Trader,,,,,,,,,,6,2000,,,2000,No,,,No,,,1000,Food,,,,,,,
9041,2,,11,,,,Food,,Yes,,,,,,9,700,,,700,No,,,No,,,0,,,,,,,,
9041,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9041,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9041,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9041,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9041,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9042,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9043,2,,1,,Private (family/friend etc.),,,,,,,,,,6,2000,,,2000,No,,,No,,,1000,Food,,,,,,,
9043,2,,11,,,,Food,,Yes,,,,,,7,1000,,,500,No,,,No,,,500,,,,,,,,
9043,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9043,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9043,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9043,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9043,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9045,2,,1,,Trader,,,,,,,,,,6,2700,,,2700,No,,,No,,,1500,Food,,,,,,,
9045,2,,11,,,,Food,,Yes,,,,,,8,3000,,,3000,No,,,No,,,1000,,,,,,,,
9045,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9045,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9045,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9045,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9045,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9046,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9047,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9048,2,,1,,Trader,,,,,,,,,,7,3000,,,3000,No,,,No,,,3000,Food,,,,,,,
9048,2,,11,,,,Food,,Yes,,,,,,9,4000,,,4000,No,,,No,,,2000,,,,,,,,
9048,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9048,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9048,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9048,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9048,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9049,2,,1,,Private (family/friend etc.),,,,,,,,,,12,4000,,,4000,No,,,No,,,500,Food,,,,,,,
9049,2,,11,,,,Food,,Yes,,,,,,3,2000,,,2000,No,,,No,,,0,,,,,,,,
9049,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9049,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9049,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9049,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9049,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9050,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9051,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9052,2,,1,,Trader,,,,,,,,,,4,2000,,,2000,No,,,No,,,0,Food,,,,,,,
9052,2,,11,,,,Food,,Yes,,,,,,7,3000,,,3000,No,,,No,,,0,,,,,,,,
9052,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9052,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9052,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9052,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9052,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9053,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9054,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9055,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9056,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9057,2,,1,,Trader,,,,,,,,,,7,2000,,,2000,No,,,No,,,1000,Food,,,,,,,
9057,2,,11,,,,Food,,Yes,,,,,,8,1000,,,1000,No,,,No,,,1000,,,,,,,,
9057,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9057,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9057,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9057,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9057,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9058,2,,1,,Trader,,,,,,,,,,5,1500,,,1500,No,,,No,,,1500,Food,,,,,,,
9058,2,,11,,,,Food,,Yes,,,,,,7,2000,,,2000,No,,,No,,,2000,,,,,,,,
9058,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9058,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9058,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9058,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9058,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9059,2,,1,,Trader,,,,,,,,,,6,1000,,,1000,No,,,No,,,1000,Food,,,,,,,
9059,2,,11,,,,Food,,Yes,,,,,,9,2500,,,2500,No,,,No,,,500,,,,,,,,
9059,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9059,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9059,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
9059,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
