hhid,round,comment,birthevent,s6q45a,s6q45b,s6q46,s6q47,s6q47b
4040,2,,2,Current year,June,Sheep/Goat,6,
4040,3,0,1,Current year,May,Camel,1,
4040,4,0,3,Current year,August,Sheep/Goat,2,
4040,4,0,2,Current year,April,Sheep/Goat,5,
4040,4,0,1,Previous year,December,Sheep/Goat,4,
4040,5,0,2,Current year,May,Sheep/Goat,4,
4040,5,0,3,Current year,July,Sheep/Goat,4,
4040,5,0,1,Current year,January,Sheep/Goat,6,
4040,6,0,1,Current year,June,Sheep/Goat,17,
4040,7,,1,2020,July,Goat,6,2
4040,7,,2,2020,July,Sheep,8,3
4040,7,,3,2020,December,Sheep,8,3
4040,7,,1,2019,February,Sheep,8,3
4040,7,,2,2020,November,Goat,6,2
4041,1,,4,Current year,August,Sheep/Goat,6,
4041,1,,3,Current year,May,Sheep/Goat,7,
4041,1,,2,Previous year,November,Sheep/Goat,10,
4041,1,,1,Current year,October,Camel,2,
4041,2,,1,Current year,April,Camel,2,
4041,2,,3,Current year,August,Sheep/Goat,3,
4041,2,,2,Current year,May,Sheep/Goat,9,
4041,3,0,1,Current year,February,Camel,2,
4041,3,0,2,Current year,April,Sheep/Goat,3,
4041,4,0,2,Previous year,December,Sheep/Goat,5,
4041,4,0,3,Current year,April,Sheep/Goat,4,
4041,4,0,1,Previous year,October,Camel,1,
4041,5,0,1,Previous year,November,Camel,1,
4041,5,0,3,Current year,July,Sheep/Goat,5,
4041,5,0,2,Current year,March,Sheep/Goat,8,
4041,6,0,1,Current year,March,Camel,4,
4041,6,0,2,Current year,May,Sheep/Goat,9,
4042,1,,4,Current year,July,Sheep/Goat,2,
4042,1,,1,Previous year,November,Sheep/Goat,3,
4042,1,,3,Current year,April,Sheep/Goat,2,
4042,1,,2,Previous year,December,Cattle,1,
4042,2,,1,Current year,March,Sheep/Goat,2,
4042,2,,2,Current year,September,Sheep/Goat,8,
4042,4,0,1,Current year,September,Sheep/Goat,2,
4042,5,0,1,Current year,August,Sheep/Goat,3,
4042,6,0,1,Current year,July,Sheep/Goat,2,
4043,1,,1,Previous year,October,Camel,1,
4043,1,,4,Current year,July,Sheep/Goat,52,
4043,1,,3,Current year,February,Cattle,1,
4043,1,,2,Current year,January,Sheep/Goat,47,
4043,2,,2,Current year,March,Camel,1,
4043,2,,4,Current year,June,Sheep/Goat,22,
4043,2,,3,Current year,April,Sheep/Goat,38,
4043,2,,1,Previous year,November,Camel,1,
4043,3,0,1,Previous year,December,Camel,5,
4043,3,0,3,Current year,August,Sheep/Goat,26,
4043,3,0,2,Current year,March,Sheep/Goat,11,
4043,4,0,2,Current year,April,Cattle,1,
4043,4,0,1,Previous year,December,Camel,2,
4043,5,0,2,Current year,August,Camel,2,
4043,5,0,1,Current year,February,Camel,1,
4043,5,0,6,Current year,June,Sheep/Goat,18,
4043,5,0,3,Previous year,December,Sheep/Goat,10,
4043,5,0,5,Current year,May,Sheep/Goat,15,
4043,5,0,7,Current year,September,Sheep/Goat,3,
4043,5,0,4,Current year,January,Sheep/Goat,5,
4043,6,0,1,Previous year,December,Sheep/Goat,52,
4043,6,0,2,Current year,July,Sheep/Goat,28,
4043,7,,3,2020,December,Goat,10,3
4043,7,,1,2019,February,Goat,10,3
4043,7,,2,2020,May,Goat,10,3
4044,1,,3,Current year,April,Camel,1,
4044,1,,2,Current year,February,Sheep/Goat,2,
4044,1,,4,Current year,September,Sheep/Goat,3,
4044,1,,1,Previous year,November,Sheep/Goat,6,
4044,2,,1,Current year,June,Sheep/Goat,7,
4044,3,0,2,Current year,July,Cattle,2,
4044,3,0,4,Current year,July,Sheep/Goat,13,
4044,3,0,1,Current year,June,Camel,1,
4044,3,0,3,Current year,February,Sheep/Goat,9,
4044,4,0,2,Current year,July,Cattle,3,
4044,4,0,1,Previous year,November,Camel,1,
4044,4,0,3,Previous year,December,Sheep/Goat,23,
4044,4,0,4,Current year,June,Sheep/Goat,19,
4044,5,0,3,Current year,July,Sheep/Goat,11,
4044,5,0,2,Current year,March,Sheep/Goat,15,
4044,5,0,1,Previous year,November,Camel,2,
4044,6,0,1,Current year,March,Sheep/Goat,25,
4044,6,0,2,Current year,August,Sheep/Goat,9,
4044,7,,2,2020,September,Goat,2,2
4044,7,,1,2020,August,Goat,2,2
4045,1,,3,Current year,June,Sheep/Goat,30,
4045,1,,2,Current year,October,Camel,1,
4045,1,,1,Previous year,October,Sheep/Goat,10,
4045,2,,2,Current year,July,Sheep/Goat,30,
4045,2,,1,Current year,January,Camel,2,
4045,3,0,1,Current year,January,Sheep/Goat,2,
4045,3,0,2,Current year,June,Sheep/Goat,3,
4045,4,0,2,Previous year,December,Sheep/Goat,25,
4045,4,0,1,Previous year,November,Camel,5,
4045,4,0,3,Current year,May,Sheep/Goat,16,
4045,5,0,2,Previous year,October,Sheep/Goat,20,
4045,5,0,3,Current year,March,Sheep/Goat,13,
4045,5,0,1,Previous year,December,Camel,2,
4045,5,0,4,Current year,April,Camel,1,
4045,6,0,1,Current year,March,Camel,2,
4045,6,0,2,Current year,April,Sheep/Goat,7,
4045,6,0,3,Current year,July,Sheep/Goat,14,
4045,7,,3,2020,September,Sheep,30,4
4045,7,,2,2020,August,Goat,20,3
4045,7,,1,2019,February,Goat,20,3
4045,7,,1,2019,February,Camel,5,1
4045,7,,3,2020,December,Goat,20,3
4045,7,,2,2020,May,Sheep,30,4
4045,7,,4,2020,December,Sheep,30,4
4045,7,,1,2019,March,Sheep,30,4
4046,1,,2,Current year,January,Sheep/Goat,12,
4046,1,,3,Current year,June,Sheep/Goat,17,
4046,1,,4,Current year,September,Sheep/Goat,10,
4046,1,,1,Previous year,October,Camel,4,
4047,1,,1,Previous year,November,Camel,1,
4047,1,,2,Current year,January,Camel,2,
4047,1,,4,Current year,May,Sheep/Goat,2,
4047,1,,3,Current year,March,Sheep/Goat,4,
4047,1,,5,Current year,July,Sheep/Goat,3,
4047,2,,1,Current year,March,Sheep/Goat,21,
4048,1,,2,Current year,February,Cattle,1,
4048,1,,3,Current year,May,Sheep/Goat,5,
4048,1,,4,Current year,July,Sheep/Goat,3,
4048,1,,5,Current year,September,Sheep/Goat,4,
4048,1,,1,Previous year,October,Camel,2,
4048,2,,4,Previous year,October,Camel,1,
4048,2,,2,Current year,April,Sheep/Goat,10,
4048,2,,1,Current year,March,Sheep/Goat,12,
4048,2,,3,Current year,May,Sheep/Goat,4,
4048,3,0,3,Previous year,November,Camel,2,
4048,3,0,2,Current year,February,Sheep/Goat,21,
4048,3,0,1,Current year,January,Cattle,4,
4048,4,0,2,Current year,January,Sheep/Goat,3,
4048,4,0,3,Current year,September,Cattle,2,
4048,4,0,1,Current year,July,Sheep/Goat,9,
4048,5,0,1,Previous year,November,Camel,3,
4048,5,0,3,Previous year,December,Sheep/Goat,4,
4048,5,0,5,Current year,August,Sheep/Goat,6,
4048,5,0,2,Previous year,November,Cattle,4,
4048,5,0,4,Current year,April,Sheep/Goat,3,
4048,7,,3,2020,December,Goat,10,3
4048,7,,2,2020,July,Goat,10,3
4048,7,,1,2019,February,Goat,10,3
4049,1,,1,Previous year,February,Sheep/Goat,43,
4049,1,,3,Current year,August,Sheep/Goat,22,
4049,1,,2,Current year,April,Camel,3,
4049,2,,1,Current year,April,Sheep/Goat,21,
4049,2,,2,Current year,June,Sheep/Goat,13,
4049,2,,3,Current year,July,Camel,3,
4049,3,0,1,Previous year,December,Camel,1,
4049,4,0,1,Previous year,December,Sheep/Goat,18,
4049,4,0,2,Current year,April,Sheep/Goat,10,
4049,4,0,3,Current year,September,Sheep/Goat,2,
4049,5,0,3,Current year,August,Sheep/Goat,23,
4049,5,0,1,Previous year,November,Sheep/Goat,9,
4049,5,0,2,Current year,May,Sheep/Goat,6,
4050,1,,2,Current year,February,Sheep/Goat,6,
4050,1,,1,Current year,October,Camel,3,
4050,1,,4,Current year,September,Sheep/Goat,3,
4050,1,,3,Current year,July,Cattle,1,
4050,2,,3,Previous year,October,Cattle,1,
4050,2,,1,Current year,April,Sheep/Goat,7,
4050,2,,2,Current year,June,Sheep/Goat,6,
4050,3,0,3,Current year,June,Sheep/Goat,5,
4050,3,0,1,Previous year,December,Camel,5,
4050,3,0,2,Current year,May,Cattle,2,
4050,4,0,3,Current year,August,Sheep/Goat,5,
4050,4,0,1,Previous year,December,Sheep/Goat,7,
4050,4,0,2,Current year,April,Sheep/Goat,8,
4050,5,0,3,Current year,August,Sheep/Goat,8,
4050,5,0,2,Current year,January,Sheep/Goat,16,
4050,5,0,4,Current year,September,Sheep/Goat,6,
4050,5,0,1,Previous year,November,Camel,4,
4050,6,0,3,Current year,April,Sheep/Goat,10,
4050,6,0,1,Current year,January,Camel,6,
4050,6,0,2,Current year,March,Sheep/Goat,10,
4051,1,,4,Current year,August,Sheep/Goat,10,
4051,1,,3,Current year,April,Sheep/Goat,15,
4051,1,,1,Previous year,December,Sheep/Goat,17,
4051,1,,2,Previous year,December,Camel,1,
4051,2,,3,Current year,June,Sheep/Goat,11,
4051,2,,2,Current year,March,Sheep/Goat,18,
4051,2,,1,Previous year,December,Camel,2,
4051,3,0,1,Current year,August,Sheep/Goat,4,
4051,4,0,1,Current year,June,Sheep/Goat,16,
4051,5,0,2,Previous year,November,Sheep/Goat,6,
4051,5,0,4,Current year,August,Sheep/Goat,7,
4051,5,0,1,Current year,March,Camel,1,
4051,5,0,3,Current year,April,Sheep/Goat,3,
4051,6,0,2,Current year,September,Sheep/Goat,17,
4051,6,0,1,Current year,February,Sheep/Goat,6,
4051,7,,3,2020,November,Goat,7,3
4051,7,,1,2019,January,Goat,7,3
4051,7,,2,2020,April,Goat,7,3
4052,1,,1,Previous year,October,Camel,4,
4052,1,,4,Current year,September,Sheep/Goat,14,
4052,1,,2,Previous year,November,Cattle,5,
4052,1,,3,Current year,February,Sheep/Goat,14,
4052,2,,2,Current year,August,Sheep/Goat,12,
4052,2,,1,Current year,March,Sheep/Goat,4,
4052,2,,3,Current year,September,Camel,1,
4052,3,0,1,Current year,January,Camel,2,
4052,3,0,3,Current year,June,Sheep/Goat,5,
4052,3,0,2,Current year,February,Sheep/Goat,4,
4052,4,0,1,Previous year,December,Sheep/Goat,2,
4052,5,0,1,Current year,April,Sheep/Goat,2,
4052,6,0,1,Current year,February,Sheep/Goat,2,
4052,7,,1,2020,December,Goat,1,1
4053,1,,2,Current year,April,Sheep/Goat,6,
4053,1,,1,Previous year,October,Sheep/Goat,5,
4053,2,,2,Current year,March,Sheep/Goat,8,
4053,2,,1,Current year,May,Sheep/Goat,13,
4053,5,0,2,Current year,March,Sheep/Goat,4,
4053,5,0,1,Previous year,December,Camel,2,
4053,6,0,2,Current year,April,Sheep/Goat,9,
4053,6,0,1,Current year,February,Camel,2,
4053,7,,2,2019,February,Sheep,10,4
4053,7,,1,2019,February,Goat,8,3
4053,7,,3,2020,April,Sheep,10,4
4053,7,,4,2020,August,Sheep,10,4
4053,7,,1,2019,January,Sheep,10,4
4053,7,,2,2020,April,Goat,8,3
4053,7,,3,2020,August,Goat,8,3
4054,1,,5,Current year,May,Camel,1,
4054,1,,1,Previous year,October,Camel,1,
4054,1,,2,Previous year,December,Sheep/Goat,7,
4054,1,,6,Current year,July,Sheep/Goat,4,
4054,1,,4,Current year,April,Sheep/Goat,5,
4054,1,,7,Current year,September,Sheep/Goat,5,
4054,1,,3,Current year,February,Sheep/Goat,3,
4054,2,,3,Current year,June,Sheep/Goat,10,
4054,2,,1,Previous year,November,Camel,2,
4054,2,,2,Current year,March,Sheep/Goat,23,
4054,3,0,1,Current year,April,Camel,2,
4054,3,0,2,Current year,August,Sheep/Goat,2,
4054,4,0,3,Current year,April,Sheep/Goat,4,
4054,4,0,2,Previous year,December,Sheep/Goat,4,
4054,4,0,4,Current year,September,Sheep/Goat,2,
4054,4,0,1,Current year,May,Cattle,1,
4054,5,0,4,Current year,September,Sheep/Goat,16,
4054,5,0,2,Current year,February,Sheep/Goat,30,
4054,5,0,3,Current year,July,Sheep/Goat,12,
4054,5,0,1,Previous year,November,Camel,8,
4054,6,0,1,Previous year,December,Camel,2,
4054,6,0,4,Current year,May,Sheep/Goat,24,
4054,6,0,2,Current year,February,Sheep/Goat,13,
4054,6,0,3,Current year,March,Sheep/Goat,25,
4054,6,0,5,Current year,July,Sheep/Goat,19,
4054,7,,3,2020,August,Goat,7,7
4054,7,,7,2020,August,Goat,7,7
4054,7,,2,2020,August,Sheep,8,8
4054,7,,7,2020,August,Sheep,8,8
4054,7,,6,2020,August,Sheep,8,8
4054,7,,8,2020,August,Sheep,8,8
4054,7,,5,2020,August,Goat,7,7
4054,7,,4,2020,August,Sheep,8,8
4054,7,,6,2020,August,Goat,7,7
4054,7,,1,2020,August,Goat,7,7
4054,7,,1,2020,August,Sheep,8,8
4054,7,,2,2020,August,Goat,7,7
4054,7,,4,2020,August,Goat,7,7
4054,7,,5,2020,August,Sheep,8,8
4054,7,,3,2020,August,Sheep,8,8
4055,1,,2,Current year,June,Cattle,1,
4055,1,,1,Current year,October,Sheep/Goat,15,
4055,2,,2,Current year,May,Sheep/Goat,5,
4055,2,,1,Current year,April,Sheep/Goat,10,
4055,3,0,2,Current year,May,Camel,1,
4055,3,0,1,Previous year,December,Camel,2,
4055,3,0,4,Current year,July,Sheep/Goat,9,
4055,3,0,3,Previous year,November,Sheep/Goat,11,
4055,4,0,1,Current year,May,Sheep/Goat,9,
4055,5,0,3,Current year,April,Sheep/Goat,4,
4055,5,0,1,Previous year,November,Camel,3,
4055,5,0,2,Previous year,November,Sheep/Goat,3,
4055,5,0,6,Current year,August,Sheep/Goat,5,
4055,5,0,5,Current year,June,Sheep/Goat,2,
4055,5,0,4,Current year,May,Sheep/Goat,3,
4055,6,0,4,Current year,September,Sheep/Goat,2,
4055,6,0,1,Current year,May,Camel,1,
4055,6,0,3,Current year,July,Sheep/Goat,2,
4055,6,0,2,Current year,June,Sheep/Goat,6,
4055,7,,3,2020,August,Goat,3,3
4055,7,,3,2020,December,Sheep,4,4
4055,7,,2,2020,July,Goat,3,3
4055,7,,1,2019,January,Camel,4,4
4055,7,,1,2020,October,Sheep,4,4
4055,7,,4,2020,July,Camel,4,4
4055,7,,1,2020,June,Goat,3,3
4055,7,,3,2020,April,Camel,4,4
4055,7,,2,2019,February,Camel,4,4
4055,7,,2,2020,November,Sheep,4,4
4055,7,,4,2020,April,Sheep,4,4
4056,1,,1,Previous year,October,Camel,2,
4056,1,,2,Previous year,October,Sheep/Goat,150,
4056,1,,3,Current year,February,Sheep/Goat,42,
4056,1,,4,Current year,July,Sheep/Goat,45,
4056,2,,1,Current year,April,Sheep/Goat,16,
4056,2,,2,Current year,July,Sheep/Goat,14,
4056,3,0,1,Current year,April,Sheep/Goat,12,
4056,4,0,1,Current year,April,Sheep/Goat,23,
4056,5,0,4,Current year,May,Sheep/Goat,12,
4056,5,0,1,Current year,April,Camel,8,
4056,5,0,2,Previous year,November,Sheep/Goat,16,
4056,5,0,5,Current year,August,Sheep/Goat,25,
4056,5,0,3,Current year,March,Sheep/Goat,10,
4056,6,0,6,Previous year,December,Sheep/Goat,18,
4056,6,0,4,Current year,June,Sheep/Goat,12,
4056,6,0,1,Previous year,December,Camel,1,
4056,6,0,5,Current year,August,Sheep/Goat,16,
4056,6,0,2,Current year,April,Camel,1,
4056,6,0,3,Current year,April,Sheep/Goat,12,
4057,1,,3,Current year,May,Sheep/Goat,10,
4057,1,,4,Current year,August,Sheep/Goat,9,
4057,1,,2,Previous year,November,Sheep/Goat,30,
4057,1,,1,Current year,February,Camel,2,
4057,2,,2,Current year,July,Sheep/Goat,23,
4057,2,,1,Current year,April,Sheep/Goat,16,
4057,3,0,1,Current year,April,Camel,2,
4057,3,0,2,Current year,September,Sheep/Goat,3,
4057,4,0,1,Previous year,December,Sheep/Goat,10,
4057,4,0,2,Current year,April,Sheep/Goat,4,
4057,4,0,3,Current year,August,Sheep/Goat,9,
4057,5,0,1,Previous year,December,Camel,5,
4057,5,0,4,Current year,March,Sheep/Goat,14,
4057,5,0,3,Current year,January,Sheep/Goat,10,
4057,5,0,2,Previous year,December,Cattle,1,
4057,6,0,2,Previous year,November,Sheep/Goat,24,
4057,6,0,1,Previous year,October,Camel,6,
4057,6,0,3,Current year,March,Sheep/Goat,12,
4057,6,0,4,Current year,June,Sheep/Goat,7,
4057,7,,1,2019,January,Sheep,35,2
4057,7,,2,2020,September,Sheep,35,2
4057,7,,2,2020,August,Goat,40,2
4057,7,,1,2019,February,Camel,2,1
4057,7,,1,2019,March,Goat,40,2
4058,1,,2,Current year,October,Sheep/Goat,13,
4058,1,,3,Current year,May,Sheep/Goat,63,
4058,1,,1,Previous year,November,Camel,2,
4058,2,,1,Current year,April,Sheep/Goat,33,
4058,2,,2,Current year,June,Sheep/Goat,20,
4058,3,0,4,Current year,June,Sheep/Goat,6,
4058,3,0,1,Current year,February,Camel,2,
4058,3,0,3,Current year,January,Sheep/Goat,10,
4058,3,0,2,Current year,May,Camel,1,
4058,4,0,2,Current year,April,Sheep/Goat,19,
4058,4,0,1,Current year,March,Sheep/Goat,13,
4058,5,0,2,Current year,March,Sheep/Goat,2,
4058,5,0,1,Previous year,December,Sheep/Goat,2,
4058,7,,1,2020,July,Goat,3,1
4058,7,,1,2020,August,Sheep,2,1
4059,1,,1,Previous year,October,Camel,2,
4059,1,,3,Current year,April,Sheep/Goat,4,
4059,1,,2,Previous year,November,Sheep/Goat,18,
4059,2,,3,Current year,July,Sheep/Goat,13,
4059,2,,2,Current year,March,Sheep/Goat,9,
4059,2,,1,Previous year,November,Camel,1,
4059,3,0,1,Current year,May,Camel,2,
4059,4,0,1,Current year,April,Sheep/Goat,14,
4059,5,0,2,Current year,July,Sheep/Goat,6,
4059,5,0,1,Previous year,December,Camel,2,
4059,6,0,2,Current year,February,Sheep/Goat,27,
4059,6,0,3,Current year,June,Sheep/Goat,10,
4059,6,0,1,Current year,March,Camel,3,
4059,7,,5,2020,August,Goat,10,10
4059,7,,1,2020,June,Sheep,5,4
4059,7,,2,2020,May,Goat,10,10
4059,7,,3,2020,May,Goat,10,10
4059,7,,3,2020,December,Sheep,5,4
4059,7,,4,2020,August,Goat,10,10
4059,7,,10,2020,October,Goat,10,10
4059,7,,7,2020,October,Goat,10,10
4059,7,,8,2020,October,Goat,10,10
4059,7,,4,2020,December,Sheep,5,4
4059,7,,9,2020,October,Goat,10,10
4059,7,,1,2020,May,Goat,10,10
4059,7,,6,2020,August,Goat,10,10
4059,7,,2,2020,June,Sheep,5,4
4060,1,,2,Previous year,December,Camel,4,
4060,1,,1,Previous year,November,Sheep/Goat,42,
4060,1,,4,Previous year,April,Sheep/Goat,25,
4060,1,,3,Previous year,December,Cattle,4,
4060,2,,2,Current year,April,Sheep/Goat,13,
4060,2,,1,Previous year,October,Camel,2,
4060,2,,3,Current year,June,Sheep/Goat,23,
4060,3,0,1,Current year,March,Cattle,2,
4060,3,0,2,Current year,July,Sheep/Goat,34,
4060,4,0,4,Current year,September,Sheep/Goat,33,
4060,4,0,2,Previous year,December,Sheep/Goat,35,
4060,4,0,3,Current year,April,Sheep/Goat,20,
4060,4,0,1,Previous year,October,Camel,2,
4060,5,0,3,Previous year,December,Sheep/Goat,20,
4060,5,0,4,Current year,March,Sheep/Goat,28,
4060,5,0,6,Current year,August,Sheep/Goat,23,
4060,5,0,5,Current year,June,Sheep/Goat,15,
4060,5,0,2,Previous year,November,Cattle,4,
4060,5,0,1,Previous year,November,Camel,6,
4060,6,0,4,Current year,January,Sheep/Goat,5,
4060,6,0,1,Current year,April,Camel,3,
4060,6,0,6,Current year,September,Sheep/Goat,2,
4060,6,0,3,Current year,September,Cattle,2,
4060,6,0,2,Current year,July,Camel,1,
4060,6,0,5,Current year,August,Sheep/Goat,20,
4060,7,,1,2019,January,Goat,12,3
4060,7,,3,2020,December,Goat,12,3
4060,7,,2,2020,May,Goat,12,3
4061,1,,2,Current year,February,Sheep/Goat,5,
4061,1,,1,Previous year,October,Sheep/Goat,15,
4061,1,,3,Current year,July,Cattle,1,
4061,1,,4,Current year,July,Sheep/Goat,15,
4062,1,,3,Current year,April,Sheep/Goat,22,
4062,1,,2,Current year,October,Sheep/Goat,10,
4062,1,,1,Current year,October,Camel,1,
4062,1,,4,Current year,July,Sheep/Goat,9,
4062,2,,2,Current year,May,Sheep/Goat,23,
4062,2,,3,Current year,July,Sheep/Goat,18,
4062,2,,1,Current year,April,Camel,2,
4062,4,0,1,Current year,April,Sheep/Goat,17,
4062,5,0,1,Previous year,November,Sheep/Goat,3,
4062,5,0,2,Current year,April,Sheep/Goat,2,
4062,6,0,1,Previous year,November,Sheep/Goat,40,
4062,6,0,2,Current year,August,Sheep/Goat,33,
4063,1,,4,Current year,April,Sheep/Goat,30,
4063,1,,2,Previous year,October,Sheep/Goat,4,
4063,1,,5,Current year,August,Sheep/Goat,39,
4063,1,,3,Current year,February,Sheep/Goat,20,
4063,1,,1,Previous year,October,Camel,5,
4063,2,,3,Current year,August,Sheep/Goat,18,
4063,2,,1,Previous year,November,Camel,2,
4063,2,,2,Current year,March,Sheep/Goat,20,
4063,3,0,1,Previous year,December,Camel,4,
4063,4,0,2,Current year,July,Sheep/Goat,11,
4063,4,0,1,Current year,January,Sheep/Goat,10,
4063,5,0,2,Current year,February,Sheep/Goat,10,
4063,5,0,3,Current year,June,Sheep/Goat,10,
4063,5,0,1,Current year,January,Sheep/Goat,16,
4063,6,0,3,Current year,March,Sheep/Goat,32,
4063,6,0,1,Previous year,November,Camel,5,
4063,6,0,2,Previous year,November,Sheep/Goat,19,
4063,7,,2,2020,August,Goat,10,3
4063,7,,1,2020,May,Goat,10,3
4063,7,,1,2019,February,Sheep,17,3
4063,7,,2,2020,July,Sheep,17,3
4063,7,,3,2020,November,Sheep,17,3
4063,7,,3,2020,December,Goat,10,3
4063,7,,1,2019,February,Camel,5,1
4064,1,,3,Current year,February,Sheep/Goat,5,
4064,1,,1,Previous year,October,Camel,1,
4064,1,,4,Current year,April,Sheep/Goat,12,
4064,1,,5,Current year,August,Sheep/Goat,10,
4064,1,,2,Previous year,November,Sheep/Goat,5,
4064,2,,2,Current year,April,Camel,2,
4064,2,,1,Current year,March,Sheep/Goat,9,
4064,2,,3,Current year,August,Sheep/Goat,7,
4064,3,0,2,Current year,May,Sheep/Goat,9,
4064,3,0,1,Current year,May,Camel,3,
4064,4,0,1,Current year,July,Sheep/Goat,12,
4064,5,0,1,Previous year,December,Camel,6,
4064,5,0,3,Current year,April,Sheep/Goat,10,
4064,5,0,2,Previous year,December,Sheep/Goat,22,
4064,5,0,4,Current year,June,Sheep/Goat,8,
4064,6,0,1,Current year,February,Sheep/Goat,13,
4064,6,0,2,Current year,June,Sheep/Goat,15,
4064,7,,1,2020,December,Goat,2,1
4065,1,,4,Current year,May,Sheep/Goat,26,
4065,1,,1,Previous year,October,Camel,1,
4065,1,,6,Current year,April,Camel,2,
4065,1,,3,Current year,February,Sheep/Goat,32,
4065,1,,2,Previous year,November,Sheep/Goat,120,
4065,1,,5,Current year,July,Sheep/Goat,13,
4065,2,,2,Current year,August,Sheep/Goat,49,
4065,2,,1,Current year,January,Camel,3,
4066,1,,4,Previous year,November,Sheep/Goat,15,
4066,1,,5,Previous year,October,Sheep/Goat,10,
4066,1,,7,Current year,April,Sheep/Goat,38,
4066,1,,1,Previous year,December,Camel,1,
4066,1,,6,Current year,January,Sheep/Goat,40,
4066,1,,2,Current year,January,Camel,4,
4066,1,,8,Current year,August,Sheep/Goat,17,
4066,1,,3,Current year,February,Camel,3,
4066,2,,3,Current year,May,Sheep/Goat,16,
4066,2,,1,Current year,March,Camel,6,
4066,2,,2,Current year,April,Sheep/Goat,20,
4066,3,0,1,Current year,May,Camel,4,
4066,3,0,2,Current year,August,Sheep/Goat,8,
4066,4,0,1,Current year,July,Sheep/Goat,9,
4066,5,0,4,Current year,August,Sheep/Goat,16,
4066,5,0,3,Current year,March,Sheep/Goat,7,
4066,5,0,1,Previous year,December,Camel,1,
4066,5,0,2,Previous year,November,Sheep/Goat,6,
4066,6,0,2,Current year,February,Sheep/Goat,5,
4066,6,0,3,Current year,September,Sheep/Goat,6,
4066,6,0,1,Current year,April,Camel,3,
4067,1,,1,Previous year,October,Camel,2,
4067,1,,5,Current year,April,Sheep/Goat,25,
4067,1,,6,Current year,July,Sheep/Goat,30,
4067,1,,4,Current year,February,Sheep/Goat,7,
4067,1,,3,Previous year,December,Sheep/Goat,10,
4067,1,,2,Previous year,December,Camel,4,
4068,1,,1,Previous year,November,Camel,5,
4068,1,,5,Current year,August,Sheep/Goat,3,
4068,1,,3,Current year,February,Sheep/Goat,12,
4068,1,,4,Current year,June,Sheep/Goat,9,
4068,1,,2,Previous year,November,Sheep/Goat,25,
4068,2,,3,Current year,May,Sheep/Goat,50,
4068,2,,2,Current year,April,Sheep/Goat,10,
4068,2,,4,Current year,June,Sheep/Goat,10,
4068,2,,6,Current year,April,Camel,6,
4068,2,,5,Current year,February,Camel,4,
4068,2,,1,Current year,March,Sheep/Goat,60,
4068,3,0,1,Previous year,December,Camel,6,
4068,3,0,2,Current year,August,Sheep/Goat,35,
4068,4,0,2,Current year,August,Sheep/Goat,25,
4068,4,0,1,Current year,March,Sheep/Goat,69,
4068,5,0,5,Current year,August,Sheep/Goat,16,
4068,5,0,1,Previous year,November,Camel,10,
4068,5,0,2,Current year,May,Cattle,1,
4068,5,0,3,Previous year,November,Sheep/Goat,45,
4068,5,0,4,Current year,May,Sheep/Goat,55,
4068,6,0,2,Current year,February,Sheep/Goat,31,
4068,6,0,3,Current year,August,Sheep/Goat,19,
4068,6,0,1,Previous year,October,Sheep/Goat,25,
4068,7,,1,2019,March,Sheep,63,4
4068,7,,1,2019,March,Goat,50,4
4068,7,,4,2020,December,Goat,50,4
4068,7,,2,2020,May,Goat,50,4
4068,7,,2,2020,May,Sheep,63,4
4068,7,,3,2020,September,Sheep,63,4
4068,7,,3,2020,September,Goat,50,4
4068,7,,4,2020,December,Sheep,63,4
4069,1,,3,Current year,April,Sheep/Goat,13,
4069,1,,4,Current year,July,Sheep/Goat,8,
4069,1,,1,Current year,October,Camel,1,
4069,1,,2,Current year,February,Sheep/Goat,30,
4069,2,,1,Current year,March,Sheep/Goat,12,
4069,2,,4,Current year,August,Camel,3,
4069,2,,2,Current year,April,Sheep/Goat,10,
4069,2,,3,Current year,June,Sheep/Goat,4,
4069,4,0,5,Current year,April,Sheep/Goat,13,
4069,4,0,2,Current year,September,Cattle,1,
4069,4,0,4,Current year,September,Sheep/Goat,10,
4069,4,0,1,.a,.a,Camel,1,
4069,4,0,3,Current year,July,Sheep/Goat,19,
4069,5,0,2,Current year,January,Sheep/Goat,45,
4069,5,0,3,Current year,March,Sheep/Goat,18,
4069,5,0,1,Previous year,December,Camel,5,
4069,6,0,4,Current year,March,Sheep/Goat,17,
4069,6,0,2,Current year,March,Camel,2,
4069,6,0,1,Previous year,October,Camel,3,
4069,6,0,3,Previous year,October,Sheep/Goat,28,
4069,6,0,5,Current year,June,Sheep/Goat,22,
4070,1,,2,Current year,February,Sheep/Goat,29,
4070,1,,3,Current year,April,Sheep/Goat,12,
4070,1,,1,Previous year,October,Camel,1,
4070,2,,3,Current year,June,Camel,2,
4070,2,,2,Current year,May,Sheep/Goat,25,
4070,2,,1,Current year,March,Sheep/Goat,20,
4070,3,0,3,Current year,July,Sheep/Goat,5,
4070,3,0,2,Current year,February,Sheep/Goat,3,
4070,3,0,1,Previous year,December,Camel,1,
4070,4,0,1,Previous year,October,Sheep/Goat,6,
4070,4,0,2,Current year,June,Sheep/Goat,12,
4070,4,0,3,Current year,March,Sheep/Goat,4,
4070,5,0,1,Previous year,November,Camel,5,
4070,5,0,3,Current year,July,Sheep/Goat,10,
