hhid,round,comment,shock,s7q10,s7q10a,s7q12,s7q13,s7q14
2008,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Large effect,More than a year (not fully recovered)
2008,6,0,Loss/sickness of a member of your household,No,,,,
2008,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2008,6,0,Food price increase,No,,,,
2008,6,0,Other (specify),No,,,,
2009,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,Within a month
2009,6,0,Flood,No,,,,
2009,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2009,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Large effect,Within the same season (In a few months)
2009,6,0,Loss/sickness of a member of your household,No,,,,
2009,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2009,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within a month
2009,6,0,Other (specify),No,,,,
2010,6,0,Drought,No,,,,
2010,6,0,Flood,No,,,,
2010,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2010,6,0,Crop disease or pest,No,,,,
2010,6,0,Loss/sickness of a member of your household,No,,,,
2010,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2010,6,0,Food price increase,No,,,,
2010,6,0,Other (specify),No,,,,
2011,6,0,Drought,No,,,,
2011,6,0,Flood,No,,,,
2011,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2011,6,0,Crop disease or pest,No,,,,
2011,6,0,Loss/sickness of a member of your household,No,,,,
2011,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2011,6,0,Food price increase,No,,,,
2011,6,0,Other (specify),No,,,,
2012,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),No effect,
2012,6,0,Flood,No,,,,
2012,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2012,6,0,Crop disease or pest,No,,,,
2012,6,0,Loss/sickness of a member of your household,No,,,,
2012,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2012,6,0,Food price increase,Yes,,Long rainy season (Mar-May current year),Mild effect,Within a month
2012,6,0,Other (specify),No,,,,
2013,6,0,Drought,No,,,,
2013,6,0,Flood,No,,,,
2013,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2013,6,0,Crop disease or pest,No,,,,
2013,6,0,Loss/sickness of a member of your household,No,,,,
2013,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2013,6,0,Food price increase,No,,,,
2013,6,0,Other (specify),No,,,,
2015,6,0,Drought,No,,,,
2015,6,0,Flood,No,,,,
2015,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2015,6,0,Crop disease or pest,No,,,,
2015,6,0,Loss/sickness of a member of your household,No,,,,
2015,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2015,6,0,Food price increase,No,,,,
2015,6,0,Other (specify),No,,,,
2016,6,0,Drought,Yes,,Short dry season (Jan-Feb current year),Large effect,Within two seasons (about half a year)
2016,6,0,Flood,No,,,,
2016,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
2016,6,0,Crop disease or pest,No,,,,
2016,6,0,Loss/sickness of a member of your household,No,,,,
2016,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2016,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
2016,6,0,Other (specify),No,,,,
2017,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within two seasons (about half a year)
2017,6,0,Flood,No,,,,
2017,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short dry season (Jan-Feb current year),Mild effect,Within two seasons (about half a year)
2017,6,0,Crop disease or pest,No,,,,
2017,6,0,Loss/sickness of a member of your household,No,,,,
2017,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2017,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,About one year
2017,6,0,Other (specify),No,,,,
2018,6,0,Drought,No,,,,
2018,6,0,Flood,No,,,,
2018,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short dry season (Jan-Feb current year),Mild effect,Within the same season (In a few months)
2018,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Moderate effect,About one year
2018,6,0,Loss/sickness of a member of your household,No,,,,
2018,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
2018,6,0,Food price increase,No,,,,
2018,6,0,Other (specify),No,,,,
2019,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
2019,6,0,Flood,No,,,,
