hhid,round,s22q1,s22q1a,s22q2,s22q2a,s22q3,s22q3a,s22q4,s22q4a,s22q5,s22q5a,s22q6,s22q6a,s22q7,s22q8,s22q9,s22q10,s22q11a,s22q11a_a,s22q11b,s22q11b_a,s22q11c,s22q11c_a,s22q11d,s22q11d_a,s22q11e,s22q11e_a,s22q13a,s22q13a_a,s22q13b,s22q13b_a,s22q13c,s22q13c_a,s22q13d,s22q13d_a,s22q13e,s22q13e_a,s22q14a,s22q14a_a,s22q14b,s22q14b_a,s22q14c,s22q14c_a,s22q14d,s22q14d_a,s22q14e,s22q14e_a
8013,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,-96,-96,2017,2019,Human health and vaccines campaigns,,Livestock disease outbreaks,,Forage availability,,Water availability,,Security within my locality,,nability to read SMSs,,irtime costs,,Limited network connectivity market information?,,imited trust in information obtained,,imited mobile phone charging opportunities,,Livestock prices,,Market operating status,,Livestock volumes,,Number of external traders,,Number of lorries,
8014,7,Local market,,Local market,,None,,High prices,,Local FM radio,,Word of mouth,,3,-96,2017,.a,Water availability,,Forage availability,,Security within my locality,,Food commodity prices and availability,,Human health and vaccines campaigns,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,None / No other,,None / No other,,Livestock prices,,Water availability,,Market operating status,,Livestock volumes,,None,
8015,7,None: My household does not do this,,Local market,,None,,High prices,,Manyatta broker,,Word of mouth,,5,1,2017,2018,Forage availability,,Water availability,,Veterinary services,,Livestock disease outbreaks,,11,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,nability to read SMSs,,Limited sources of market information,,Livestock prices,,Market operating status,,Number of lorries,,Number of external traders,,Livestock volumes,
8018,7,None: My household does not do this,,Local market,,None,,High prices,,Local FM radio,,Word of mouth,,2,-96,2018,.a,Water availability,,Forage availability,,Livestock disease outbreaks,,Food commodity prices and availability,,Livestock market price information,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,None / No other,,None / No other,,Livestock prices,,Livestock diseases,,Water availability,,Livestock volumes,,Market operating status,
8019,7,None: My household does not do this,,Local market,,None,,High prices,,Local market broker,,Word of mouth,,3,2,2016,2018,Forage availability,,Water availability,,Security within my locality,,Veterinary services,,11,,imited mobile phone charging opportunities,,irtime costs,,Limited network connectivity market information?,,nability to read SMSs,,Limited sources of market information,,Livestock prices,,Market operating status,,Livestock volumes,,Livestock diseases,,Number of lorries,
8020,7,Local market,,Local market,,Insecurity,,High prices,,Manyatta broker,,Word of mouth,,-96,-96,-96,.a,Forage availability,,Security within my locality,,Security of area I intend to migrate to,,Water availability,,Livestock market price information,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,None / No other,,Livestock prices,,Number of external traders,,Livestock volumes,,Number of lorries,,Conflict en route to market,
8021,7,Manyatta/neighbors,,Manyatta/neighbors,,None,,High prices,,Manyatta broker,,Word of mouth,,-96,-96,.a,.a,Food commodity prices and availability,,Water availability,,Forage availability,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,Livestock prices,,Market operating status,,Water availability,,Livestock volumes,,None,
8022,7,None: My household does not do this,,Local market,,None,,High prices,,Manyatta broker,,Word of mouth,,4,3,2014,2018,Forage availability,,Water availability,,Veterinary services,,Security within my locality,,11,,Limited network connectivity market information?,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,,Livestock diseases,
8024,7,None: My household does not do this,,None: My household does not do this,,None,,None,,Local FM radio,,Radio,,5,-96,-96,2008,Forage availability,,Water availability,,Veterinary services,,11,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Number of lorries,,Number of external traders,,Market operating status,,Livestock volumes,
8025,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Telephone calls,,-96,-96,2017,2019,Human health and vaccines campaigns,,Forage availability,,Security of area I intend to migrate to,,Other (specify) ,Getting quick help from mpesa,Livestock disease outbreaks,,nability to read SMSs,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,Limited sources of market information,,Livestock prices,,Market operating status,,Livestock volumes,,Number of external traders,,Conflict en route to market,
8026,7,Local market,,Local market,,Long market distances,,Limited livestock market information,,Manyatta broker,,Word of mouth,,-96,-96,2012,2017,Forage availability,,Water availability,,Livestock market price information,,Livestock disease outbreaks,,Security of area I intend to migrate to,,irtime costs,,imited mobile phone charging opportunities,,Limited sources of market information,,imited trust in information obtained,,None / No other,,Livestock prices,,Number of external traders,,Water availability,,Conflict en route to market,,Livestock volumes,
8027,7,None: My household does not do this,,Local market,,None,,High prices,,Local market broker,,Word of mouth,,3,-96,2017,2011,Food commodity prices and availability,,Livestock disease outbreaks,,Veterinary services,,Forage availability,,Water availability,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,None / No other,,None / No other,,Livestock prices,,Livestock diseases,,Market operating status,,Water availability,,Livestock volumes,
8029,7,None: My household does not do this,,Local market,,None,,High prices,,None,,None,,-96,-96,-96,.a,No / No other,,No / No other,,No / No other,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,,Number of lorries,
8030,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,-96,5,2015,2017,Water availability,,Forage availability,,Livestock market price information,,Security of area I intend to migrate to,,No / No other,,irtime costs,,imited mobile phone charging opportunities,,imited trust in information obtained,,Limited sources of market information,,None / No other,,Livestock prices,,Livestock volumes,,Number of external traders,,Livestock diseases,,Conflict en route to market,
8032,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,10,2,2010,.a,Human health and vaccines campaigns,,Security within my locality,,Livestock disease outbreaks,,Forage availability,,Water availability,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,None / No other,,Livestock prices,,Number of external traders,,Livestock diseases,,None,,None,
8034,7,Local market,,Local market,,Poor road networks,,Poor road networks,,Neighbor,,Word of mouth,,10,10,2010,2014,11,,weather forecast  11 COVID-19,,Livestock market price information,,Security within my locality,,Veterinary services,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,imited trust in information obtained,,Limited sources of market information,,Livestock volumes,,Number of external traders,,Number of lorries,,Livestock diseases,,Conflict en route to market,
8035,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,-96,-96,2018,.a,Human health and vaccines campaigns,,Security within my locality,,Food commodity prices and availability,,No / No other,,No / No other,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,None / No other,,None / No other,,Livestock prices,,Livestock volumes,,Number of external traders,,None,,None,
8036,7,Local market,,Local market,,Poor road networks,,Poor road networks,,Local market broker,,Word of mouth,,9,9,2011,2016,Water availability,,Forage availability,,Security within my locality,,Veterinary services,,Livestock disease outbreaks,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,Limited network connectivity market information?,,Livestock volumes,,Livestock prices,,Number of lorries,,Livestock diseases,,Conflict en route to market,
8038,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Telephone calls,,4,4,2014,2017,Forage availability,,Water availability,,Livestock market price information,,Food commodity prices and availability,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,imited trust in information obtained,,nability to read SMSs,,Limited network connectivity market information?,,Livestock prices,,Market operating status,,Livestock volumes,,Number of lorries,,Livestock diseases,
8039,7,Local market,,Local market,,Livestock diseases,,High prices,,Manyatta broker,,Word of mouth,,-96,3,2017,2016,Forage availability,,Water availability,,Livestock disease outbreaks,,Livestock market price information,,Security of area I intend to migrate to,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,None / No other,,Livestock prices,,Livestock volumes,,Number of external traders,,Livestock diseases,,Conflict en route to market,
8040,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8041,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8044,7,Manyatta/neighbors,,Manyatta/neighbors,,None,,High prices,,Local FM radio,,Word of mouth,,2,-96,2018,2011,Human health and vaccines campaigns,,Water availability,,Forage availability,,Livestock disease outbreaks,,Food commodity prices and availability,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,None / No other,,None / No other,,Livestock prices,,Market operating status,,Livestock diseases,,Livestock volumes,,Water availability,
8045,7,None: My household does not do this,,Local market,,None,,High prices,,Local market broker,,Personal account,,4,-96,2020,2018,Forage availability,,Water availability,,Food commodity prices and availability,,Veterinary services,,11,,Limited network connectivity market information?,,irtime costs,,imited mobile phone charging opportunities,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Number of external traders,,Number of lorries,,Market operating status,,Conflict en route to market,
8047,7,None: My household does not do this,,Local market,,None,,High prices,,Local FM radio,,Radio,,6,1,2013,2010,Forage availability,,Water availability,,11,,Security of area I intend to migrate to,,Food commodity prices and availability,,imited trust in information obtained,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,irtime costs,,nability to read SMSs,,Livestock prices,,Livestock volumes,,Number of lorries,,Number of external traders,,Livestock diseases,
8048,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,7,-96,2013,2019,Human health and vaccines campaigns,,Water availability,,Livestock disease outbreaks,,Security of area I intend to migrate to,,Security within my locality,,irtime costs,,imited mobile phone charging opportunities,, Other (specify),Place to repair broken phone,nability to read SMSs,,Limited network connectivity market information?,,Livestock prices,,Number of external traders,,Livestock volumes,,Number of lorries,,Market operating status,
8049,7,None: My household does not do this,,Local market,,None,,None,,None,,Word of mouth,,-96,-96,2015,2019,Security within my locality,,Other (specify) ,Receive money from relatives who are far away,Human health and vaccines campaigns,,Forage availability,,Livestock market price information,,irtime costs,,nability to read SMSs,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,Limited sources of market information,,Livestock prices,,Market operating status,,Livestock volumes,,Number of external traders,,Number of lorries,
8051,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8052,7,Local market,,Local market,,Livestock diseases,,High prices,,Manyatta broker,,Word of mouth,,3,3,2018,2015,Forage availability,,Water availability,,Food commodity prices and availability,,Livestock market price information,,Livestock disease outbreaks,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Livestock volumes,,Number of external traders,,Market operating status,,Livestock diseases,
8053,7,Local market,,Local market,,Limited livestock market information,,High prices,,Local market broker,,Word of mouth,,9,9,2011,2017,Forage availability,,Water availability,,Livestock market price information,,Security of area I intend to migrate to,,Food commodity prices and availability,,irtime costs,,imited trust in information obtained,,Limited sources of market information,,None / No other,,None / No other,,Livestock prices,,Livestock volumes,,Number of external traders,,Number of lorries,,Conflict en route to market,
8054,7,Local market,,Local market,,High prices,,Insecurity,,Manyatta broker,,Telephone calls,,20,20,2000,2018,Forage availability,,Water availability,,Livestock market price information,,Security within my locality,,Food commodity prices and availability,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited network connectivity market information?,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Market operating status,,Number of external traders,,Number of lorries,
8055,7,Local market,,Local market,,Insecurity,,Limited livestock market information,,Local market broker,,Telephone calls,,2,2,2015,2016,Forage availability,,Water availability,,Security of area I intend to migrate to,,Livestock disease outbreaks,,Food commodity prices and availability,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,None / No other,,Livestock prices,,Livestock volumes,,Number of external traders,,Number of lorries,,Conflict en route to market,
8056,7,Local market,,Local market,,Livestock diseases,,Long market distances,,Neighbor,,Personal account,,15,15,2005,2017,Water availability,,Livestock market price information,,Veterinary services,,Human health and vaccines campaigns,,weather forecast  11 COVID-19,,irtime costs,,imited trust in information obtained,,Limited network connectivity market information?,,Limited sources of market information,,imited mobile phone charging opportunities,,Number of external traders,,Livestock volumes,,Livestock prices,,Market operating status,,Conflict en route to market,
8057,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,4,10,2010,2017,Security within my locality,,Security of area I intend to migrate to,,Livestock market price information,,11,,Forage availability,,irtime costs,,imited trust in information obtained,,Limited network connectivity market information?,,Limited sources of market information,, Other (specify),Disruption from own activities,Livestock prices,,Number of external traders,,Number of lorries,,Livestock diseases,,Water availability,
8059,7,Manyatta/neighbors,,Regional market,,Limited livestock market information,,High prices,,Local market broker,,Telephone calls,,3,4,2016,2017,Forage availability,,Water availability,,Livestock market price information,,Food commodity prices and availability,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,nability to read SMSs,,imited trust in information obtained,,Livestock prices,,Market operating status,,Livestock volumes,,Number of external traders,,Livestock diseases,
8061,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,-96,-96,.a,.a,Water availability,,Livestock market price information,,Security of area I intend to migrate to,,Forage availability,,No / No other,,irtime costs,,Limited sources of market information,,imited trust in information obtained,,imited mobile phone charging opportunities,,None / No other,,Livestock prices,,Number of external traders,,Number of lorries,,Livestock diseases,,Livestock volumes,
8062,7,None: My household does not do this,,Manyatta/neighbors,,None,,High prices,,Local FM radio,,Word of mouth,,5,-96,2015,.a,Security within my locality,,Food commodity prices and availability,,Human health and vaccines campaigns,,weather forecast  11 COVID-19,,Other (specify) ,Whereabouts of the friends and relatives,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,None / No other,,None / No other,,Livestock prices,,Conflict en route to market,,Water availability,,Livestock volumes,,Market operating status,
8070,7,Local market,,Local market,,Long market distances,,Insecurity,,Manyatta broker,,Word of mouth,,2,4,2017,2017,Water availability,,Forage availability,,Veterinary services,,Livestock market price information,,Security of area I intend to migrate to,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Livestock volumes,,Number of external traders,,Livestock diseases,,Water availability,
9001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9002,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,5,-96,2015,2015,Security within my locality,,Forage availability,,Water availability,,Food commodity prices and availability,,Livestock market price information,,Limited network connectivity market information?,,irtime costs,,imited trust in information obtained,,nability to read SMSs,,imited mobile phone charging opportunities,,Livestock volumes,,Number of external traders,,Market operating status,,Livestock prices,,Water availability,
9003,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,4,2,2012,2010,Water availability,,Livestock market price information,,Forage availability,,Veterinary services,,Security within my locality,,Limited network connectivity market information?,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9004,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,2,-96,2017,2015,Water availability,,Human health and vaccines campaigns,,Veterinary services,,Food commodity prices and availability,,Livestock disease outbreaks,,Limited network connectivity market information?,,nability to read SMSs,,irtime costs,,imited mobile phone charging opportunities,,imited trust in information obtained,,Market operating status,,Livestock prices,,Livestock diseases,,Number of external traders,,Water availability,
9005,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,3,-96,2018,2015,Water availability,,Human health and vaccines campaigns,,Livestock market price information,,Veterinary services,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited network connectivity market information?,,imited trust in information obtained,,Livestock prices,,Market operating status,,Livestock diseases,,Number of external traders,,Livestock volumes,
9006,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,1,1,2020,2014,Human health and vaccines campaigns,,Livestock market price information,,Food commodity prices and availability,,Livestock disease outbreaks,,11,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,Limited network connectivity market information?,,Livestock prices,,Livestock diseases,,Market operating status,,Livestock volumes,,Number of external traders,
9007,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,1,1,2019,2015,Water availability,,Livestock market price information,,Forage availability,,Veterinary services,,Livestock disease outbreaks,,Limited network connectivity market information?,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9008,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,-96,-96,2018,.a,11,,Forage availability,,Human health and vaccines campaigns,,Food commodity prices and availability,,Livestock market price information,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Number of external traders,,Conflict en route to market,,Market operating status,
9009,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,-96,-96,2017,2016,Water availability,,Forage availability,,11,,Food commodity prices and availability,,Security within my locality,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,imited trust in information obtained,,nability to read SMSs,,Market operating status,,Livestock prices,,Livestock volumes,,Number of external traders,,Water availability,
9010,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,3,-96,2016,2010,Water availability,,Human health and vaccines campaigns,,Livestock disease outbreaks,,Livestock market price information,,11,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,imited trust in information obtained,,Limited network connectivity market information?,,Livestock prices,,Water availability,,Market operating status,,Livestock diseases,,Number of external traders,
9011,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,2,1,2015,2010,Water availability,,Livestock market price information,,Forage availability,,Veterinary services,,Livestock disease outbreaks,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited sources of market information,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9012,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,-96,-96,2018,2015,Water availability,,Food commodity prices and availability,,Veterinary services,,Human health and vaccines campaigns,,11,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Number of external traders,,Livestock volumes,,Livestock diseases,,Water availability,
9013,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,-96,-96,-96,.a,Water availability,,Livestock market price information,,Forage availability,,Veterinary services,,Security within my locality,,irtime costs,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9014,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,-96,-96,2019,2018,Forage availability,,Water availability,,Security within my locality,,Food commodity prices and availability,,Livestock disease outbreaks,,imited mobile phone charging opportunities,,irtime costs,,Limited network connectivity market information?,,imited trust in information obtained,,nability to read SMSs,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,,Livestock diseases,
9015,7,Local market,,Local market,,High prices,,Livestock diseases,,Local market broker,,Word of mouth,,5,5,.a,.a,Livestock market price information,,Forage availability,,Water availability,,Food commodity prices and availability,,Human health and vaccines campaigns,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Water availability,,Number of external traders,,Number of lorries,
9016,7,Local market,,Local market,,High prices,,High prices,,Local FM radio,,Word of mouth,,1,-96,2017,2014,Water availability,,Forage availability,,Livestock market price information,,Veterinary services,,11,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited network connectivity market information?,,Limited sources of market information,,Water availability,,Livestock prices,,Number of external traders,,Livestock diseases,,Market operating status,
9017,7,Regional market,,Regional market,,High prices,,High prices,,Relatives near markets,,Telephone calls,,2,1,.a,.a,Forage availability,,Security within my locality,,Human health and vaccines campaigns,,Water availability,,Security of area I intend to migrate to,,imited mobile phone charging opportunities,,nability to read SMSs,,irtime costs,,Limited sources of market information,,Limited network connectivity market information?,,Livestock prices,,Market operating status,,Number of external traders,,Livestock volumes,,Conflict en route to market,
9020,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,-96,-96,.a,.b,Water availability,,Livestock market price information,,Security of area I intend to migrate to,,Livestock disease outbreaks,,11,,irtime costs,,imited mobile phone charging opportunities,,Limited sources of market information,,Limited network connectivity market information?,,nability to read SMSs,,Livestock volumes,,Livestock prices,,Number of external traders,,Livestock diseases,,Water availability,
9021,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,-96,-96,2018,.a,Forage availability,,Water availability,,Security within my locality,,Food commodity prices and availability,,Livestock market price information,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,imited trust in information obtained,,nability to read SMSs,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,,Water availability,
9022,7,Local market,,Local market,,Long market distances,,Long market distances,,Neighbor,,Word of mouth,,-96,-96,-96,.a,Security within my locality,,Security of area I intend to migrate to,,Human health and vaccines campaigns,,Forage availability,,Water availability,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Number of external traders,,Number of lorries,,Conflict en route to market,
9023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9024,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,1,.a,-96,.a,Water availability,,Forage availability,,Livestock market price information,,Security within my locality,,Veterinary services,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,imited trust in information obtained,,nability to read SMSs,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9025,7,None: My household does not do this,,Local market,,None,,High prices,,Neighbor,,Word of mouth,,2,-96,2017,.a,Forage availability,,Water availability,,Livestock market price information,,Food commodity prices and availability,,Security within my locality,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,irtime costs,,nability to read SMSs,,imited trust in information obtained,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,,Livestock diseases,
9026,7,None: My household does not do this,,Local market,,Poor road networks,,Long market distances,,Local market broker,,Word of mouth,,1,-96,2016,.a,Livestock market price information,,Forage availability,,11,,Water availability,,Food commodity prices and availability,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited sources of market information,,Livestock diseases,,Livestock prices,,Market operating status,,Livestock volumes,,Conflict en route to market,
9027,7,Local market,,Local market,,High prices,,High prices,,Local market broker,,Word of mouth,,1,1,2019,2014,Water availability,,Veterinary services,,Livestock disease outbreaks,,Security of area I intend to migrate to,,Livestock market price information,,imited mobile phone charging opportunities,,irtime costs,,Limited network connectivity market information?,,Limited sources of market information,,imited trust in information obtained,,Market operating status,,Number of external traders,,Livestock prices,,Livestock volumes,,Conflict en route to market,
9028,7,None: My household does not do this,,Local market,,None,,None,,Neighbor,,Word of mouth,,3,2,-96,.a,Forage availability,,Water availability,,Livestock market price information,,Veterinary services,,Livestock disease outbreaks,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,imited trust in information obtained,,nability to read SMSs,,Livestock prices,,Number of external traders,,Livestock diseases,,Market operating status,,Livestock volumes,
9029,7,None: My household does not do this,,Local market,,None,,High prices,,Local market broker,,Word of mouth,,6,-96,2013,2010,Forage availability,,Water availability,,Food commodity prices and availability,,Livestock market price information,,Veterinary services,,Limited network connectivity market information?,,irtime costs,,imited mobile phone charging opportunities,,imited trust in information obtained,,nability to read SMSs,,Livestock prices,,Livestock volumes,,Market operating status,,Number of external traders,,Water availability,
9030,7,Regional market,,Regional market,,Long market distances,,Long market distances,,Manyatta broker,,Word of mouth,,1,8,2012,2007,Forage availability,,Water availability,,Livestock market price information,,Security of area I intend to migrate to,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited sources of market information,,None / No other,,Livestock prices,,Market operating status,,Livestock volumes,,Livestock diseases,,Water availability,
9031,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,1,-96,.b,.b,Water availability,,Forage availability,,Livestock market price information,,Security within my locality,,Veterinary services,,irtime costs,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,nability to read SMSs,,imited trust in information obtained,,Livestock prices,,Livestock volumes,,Market operating status,,Livestock diseases,,Water availability,
9032,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,4,-96,2017,2015,Water availability,,Livestock market price information,,Veterinary services,,Livestock disease outbreaks,,Human health and vaccines campaigns,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited network connectivity market information?,,imited trust in information obtained,,Livestock prices,,Market operating status,,Livestock diseases,,Number of external traders,,Water availability,
9033,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,10,-96,2016,.b,Water availability,,Forage availability,,Security within my locality,,Livestock market price information,,Human health and vaccines campaigns,,irtime costs,,imited trust in information obtained,,Limited sources of market information,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,Conflict en route to market,,Livestock prices,,Number of external traders,,Livestock diseases,,Livestock volumes,
9034,7,Local market,,Local market,,Long market distances,,High prices,,Manyatta broker,,Word of mouth,,4,2,2017,2014,11,,Forage availability,,Human health and vaccines campaigns,,Livestock market price information,,Food commodity prices and availability,,nability to read SMSs,,irtime costs,,Limited sources of market information,,imited trust in information obtained,,imited mobile phone charging opportunities,,Number of lorries,,Livestock prices,,Market operating status,,Livestock volumes,,Number of external traders,
9035,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,2,1,-96,2015,Livestock market price information,,Water availability,,Forage availability,,Food commodity prices and availability,,Livestock disease outbreaks,,nability to read SMSs,,irtime costs,,imited mobile phone charging opportunities,,Limited network connectivity market information?,,Limited sources of market information,,Livestock prices,,Market operating status,,Livestock diseases,,Number of external traders,,Water availability,
9036,7,Local market,,Local market,,Long market distances,,High prices,,Manyatta broker,,Word of mouth,,2,1,2019,2014,Human health and vaccines campaigns,,Forage availability,,Security within my locality,,Water availability,,Security of area I intend to migrate to,,imited mobile phone charging opportunities,,irtime costs,,nability to read SMSs,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Number of external traders,,Number of lorries,,Livestock volumes,,Market operating status,
9037,7,Local market,,Local market,,High prices,,High prices,,Neighbor,,Word of mouth,,3,2,2017,.b,11,,Water availability,,Livestock market price information,,Food commodity prices and availability,,Livestock disease outbreaks,,irtime costs,,imited mobile phone charging opportunities,,nability to read SMSs,,Limited network connectivity market information?,,Limited sources of market information,,Conflict en route to market,,Livestock prices,,Number of external traders,,Market operating status,,Livestock volumes,
9038,7,Local market,,Local market,,High prices,,High prices,,Local market broker,,Word of mouth,,5,4,2015,.a,Human health and vaccines campaigns,,Water availability,,Security within my locality,,Livestock market price information,,Food commodity prices and availability,,irtime costs,,nability to read SMSs,,imited mobile phone charging opportunities,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Livestock diseases,,Market operating status,,Livestock volumes,,Number of lorries,
9039,7,None: My household does not do this,,Local market,,None,,High prices,,Local FM radio,,Word of mouth,,1,-96,2010,-96,Forage availability,,Livestock market price information,,Water availability,,Food commodity prices and availability,,Security within my locality,,imited mobile phone charging opportunities,,irtime costs,,Limited network connectivity market information?,,nability to read SMSs,,imited trust in information obtained,,Market operating status,,Livestock prices,,Number of external traders,,Livestock volumes,,Livestock diseases,
