hhid,round,s22q1,s22q1a,s22q2,s22q2a,s22q3,s22q3a,s22q4,s22q4a,s22q5,s22q5a,s22q6,s22q6a,s22q7,s22q8,s22q9,s22q10,s22q11a,s22q11a_a,s22q11b,s22q11b_a,s22q11c,s22q11c_a,s22q11d,s22q11d_a,s22q11e,s22q11e_a,s22q13a,s22q13a_a,s22q13b,s22q13b_a,s22q13c,s22q13c_a,s22q13d,s22q13d_a,s22q13e,s22q13e_a,s22q14a,s22q14a_a,s22q14b,s22q14b_a,s22q14c,s22q14c_a,s22q14d,s22q14d_a,s22q14e,s22q14e_a
1032,7,Local market,,Local market,,None,,None,,Manyatta broker,,Word of mouth,,17,15,2003,2002,Forage availability,,Livestock market price information,,Water availability,,Security within my locality,,Veterinary services,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,Market operating status,,Livestock prices,,Livestock volumes,,None,,None,
1033,7,Regional market,,Regional market,,Limited livestock market information,,Long market distances,,Local market broker,,Telephone calls,,8,5,2004,2004,Forage availability,,Water availability,,Livestock market price information,,Security within my locality,,Security of area I intend to migrate to,,Limited network connectivity market information?,,imited mobile phone charging opportunities,,irtime costs,,imited trust in information obtained,,None / No other,,Livestock volumes,,Livestock prices,,Water availability,,Conflict en route to market,,Number of lorries,
1034,7,Local market,,Local market,,None,,None,,Manyatta broker,,Word of mouth,,15,15,2005,.a,Water availability,,Forage availability,,Livestock market price information,,Security within my locality,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,Livestock prices,,Market operating status,,None,,None,,None,
1035,7,None: My household does not do this,,None: My household does not do this,,None,,None,,None,,None,,10,-96,2005,.a,No / No other,,No / No other,,No / No other,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1036,7,Local market,,Local market,,High prices,,High prices,,Manyatta broker,,Word of mouth,,2,5,2000,1998,Security within my locality,,Water availability,,Forage availability,,weather forecast  11 COVID-19,,Human health and vaccines campaigns,,imited trust in information obtained,,irtime costs,,nability to read SMSs,,None / No other,,None / No other,,Conflict en route to market,,Livestock prices,,Livestock diseases,,Water availability,,Number of external traders,
1037,7,Regional market,,Regional market,,Long market distances,,Long market distances,,Local market broker,,Word of mouth,,15,10,2005,2005,Water availability,,Forage availability,,Livestock market price information,,Veterinary services,,Livestock disease outbreaks,,nability to read SMSs,,irtime costs,,Limited network connectivity market information?,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Market operating status,,Number of external traders,,Livestock diseases,,Conflict en route to market,
1038,7,None: My household does not do this,,None: My household does not do this,,None,,None,,None,,None,,17,-96,2003,2003,Human health and vaccines campaigns,,No / No other,,No / No other,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1039,7,Regional market,,Regional market,,Livestock diseases,,Livestock diseases,,Local market broker,,Word of mouth,,18,-96,2010,.a,Security within my locality,,Water availability,,No / No other,,No / No other,,No / No other,,Limited network connectivity market information?,,irtime costs,,None / No other,,None / No other,,None / No other,,Conflict en route to market,,Livestock prices,,None,,None,,None,
1042,7,None: My household does not do this,,None: My household does not do this,,None,,None,,None,,None,,20,.a,2000,1998,Human health and vaccines campaigns,,Food commodity prices and availability,,Security within my locality,,weather forecast  11 COVID-19,,11,,nability to read SMSs,,Limited network connectivity market information?,,irtime costs,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1045,7,None: My household does not do this,,None: My household does not do this,,None,,None,,Neighbor,,Word of mouth,,13,-96,2003,2003,Other (specify) ,Communication with other people mostly relatives and friends,Security within my locality,,No / No other,,No / No other,,No / No other,,nability to read SMSs,,imited mobile phone charging opportunities,,irtime costs,,None / No other,,None / No other,,None,,None,,None,,None,,None,
