hhid,round,gps_latitude,gps_longitude
2002,7,2.3,38.099998
2003,1,2.3,38.200001
2003,2,2.3,38.200001
2003,7,2.3,38.200001
2003,7,2.3,38.200001
2003,7,2.3,38.099998
2004,1,2.3,38.200001
2004,2,2.3,38.200001
2004,3,2.3,38.200001
2004,5,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.200001
2004,7,2.3,38.099998
2005,1,2.3,38.099998
2005,2,2.3,38.099998
2005,3,2.3,38.099998
2005,5,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2005,7,2.3,38.099998
2006,1,2.4000001,38.299999
2006,2,2.4000001,38.299999
2006,7,2.4000001,38.299999
2006,7,2.4000001,38.299999
2007,1,2.3,38.099998
2007,2,2.3,38.099998
2007,3,2.3,38.099998
2007,5,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2007,7,2.3,38.099998
2008,1,2.3,38.200001
2008,2,2.3,38.200001
2008,3,2.3,38.200001
2008,5,2.3,38.200001
2008,7,2.3,38.200001
2008,7,2.3,38.200001
2008,7,2.3,38.200001
2008,7,2.3,38.200001
2008,7,2.3,38.200001
2008,7,2.3,38.200001
2009,1,2.5,38.200001
2009,2,2.5,38.200001
2009,3,2.5,38.200001
2009,5,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.5,38.200001
2009,7,2.3,38.099998
2010,1,2.3,38.200001
2010,2,2.3,38.200001
2010,3,2.3,38.200001
2010,5,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.200001
2010,7,2.3,38.099998
2011,1,2.4000001,38.200001
2011,2,2.4000001,38.200001
2011,3,2.4000001,38.200001
2011,5,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.4000001,38.200001
2011,7,2.3,38.099998
2012,1,2.4000001,38.200001
2012,2,2.4000001,38.200001
2012,3,2.4000001,38.200001
2012,5,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.4000001,38.200001
2012,7,2.3,38.099998
2013,1,2.3,38.200001
2013,2,2.3,38.200001
2013,3,2.3,38.200001
2013,5,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2013,7,2.3,38.200001
2014,1,2.3,38.099998
2014,7,2.3,38.099998
2015,1,2.5,38.299999
2015,2,2.5,38.299999
2015,3,2.5,38.299999
2015,4,2.2,38.200001
2015,5,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.2,38.200001
2015,7,2.3,38.099998
2016,1,2.3,38.200001
2016,2,2.3,38.200001
2016,3,2.3,38.200001
2016,5,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.200001
2016,7,2.3,38.099998
2017,1,2.3,38.200001
2017,2,2.3,38.200001
2017,6,2.3,38.099998
2017,7,2.3,38.099998
2017,7,2.3,38.099998
2017,7,2.3,38.099998
2017,7,2.3,38.099998
2018,1,2.3,38.200001
2018,2,2.3,38.200001
2018,3,2.3,38.200001
2018,5,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.200001
2018,7,2.3,38.099998
2019,1,2.3,38.099998
2019,2,2.3,38.099998
2019,3,2.3,38.099998
2019,5,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2019,7,2.3,38.099998
2020,1,2.4000001,38.299999
2020,2,2.4000001,38.299999
2020,3,2.4000001,38.299999
2020,5,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.4000001,38.299999
2020,7,2.3,38.099998
2021,1,2.3,38.299999
2021,2,2.3,38.299999
2021,3,2.3,38.299999
2021,5,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.299999
2021,7,2.3,38.099998
2022,1,2.4000001,38.299999
2022,2,2.4000001,38.299999
2022,3,2.4000001,38.299999
2022,5,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.4000001,38.299999
2022,7,2.3,38.099998
2023,1,2.5,38.099998
2023,2,2.5,38.099998
2023,3,2.5,38.099998
