hhid,round,comment,LSID,LSID_other,s14q74,s14q70_r6,s14q70b_r6,s14q74a,s14q66_r6,s14q66a_r6,s14q66b_r6,s14q75,s14q76,s14q77,s14q78,s14q78b
1010,4,0,Bank,,Yes,,,,,,,1,1,"Yes,BUT interest rate and fee are too high",,
1010,4,0,MFI/FSA,,No,,,,,,,,,,Interest rate and fee are too high,
1010,4,0,SACCO/Cooperatives,,Yes,,,,,,,1,1,No. We don't need any (more) loan,,
1010,4,0,Money lenders,,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1010,4,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1010,4,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1010,4,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1010,6,0,Bank,,Yes,Production/ investment/ operating costs,,Yes,5000000,No,600000,,,,,
1010,6,0,MFI/FSA,,No,,,,,,,,,,,
1010,6,0,SACCO/Cooperatives,,No,,,,,,,,,,,
1010,6,0,Money lenders,,No,,,,,,,,,,,
1010,6,0,Family/friends,,No,,,,,,,,,,,
1010,6,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,,
1010,6,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,,
1010,6,0,Other (specify),,No,,,,,,,,,,,
1011,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1011,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1011,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1011,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1011,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1011,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1011,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1012,3,0,Bank,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1012,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1012,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1012,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1012,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1012,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1012,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1013,3,0,Bank,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1013,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1013,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1013,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1013,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
